Id,Name,PriorityScore,Remarks
290,lda_search_interesting_function_specific_reference,6.93,"search, interesting, function, specific, reference, quick, bug, notebook, lab, v"
291,lda_item_note_EverNote_minor_purchase,7.17,"item, note, EverNote, minor, purchase, work, Mac, organization, update, iPhone"
292,lda_editing_program_app_review_time,8.14,"editing, program, app, review, time, effect, pics, useful, opinion, thank"
293,lda_pin_people_App_friend_way,7.49,"pin, people, App, friend, way, app, contact, content, comment, time"
294,lda_version_bad_Evernote_7_desktop,6.76,"version, bad, Evernote, 7, desktop, new, pc, document, tag, platform"
295,lda_hour_weather_day_page_Tripadvisor,8.32,"hour, weather, day, page, Tripadvisor, visual, informative, order, busy, daily"
296,lda_heart_rate_app_song_room,8.35,"heart, rate, app, song, room, location, feed, task, network, way"
297,lda_area_sure_wedding_glad_map,7.2,"area, sure, wedding, glad, map, service, app, way, software, cooking"
298,lda_Dropbox_app_link_file_way,7.93,"Dropbox, app, link, file, way, cover, accessible, browser, pinning, bunch"
299,lda_app_iPad_complaint_vacation_great,8.27,"app, iPad, complaint, vacation, great, story, high, night, 1, option"
300,manual_Apple,6.0,"ios, iphone, ipad, ipod, macbook, itune, itunes, air, airpod, mac"
301,manual_Tripadvisor,9.6,"tripadvisor, tripadisor, trip, trips, advisor, travel, stay, hotel, traveler, tourist"
302,manual_Pinterest,6.68,"pinterest, pin, pinned, idea, board, pintrest, pinning, visual, fashion, repin"
