PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
171,0,1,0,2.408725589455837,0,0,0.026090367211616904,0
172,0,3,0,-1.9776724011337483,4,1,-0.06199888922968463,2
173,1,3,1,-2.2085354532700423,1,1,-0.4242561406845337,0
174,0,3,0,-0.6694484390280824,0,0,-0.4888542575852486,0
175,0,1,0,2.0239538358953473,0,0,-0.030371322596999754,1
176,0,3,0,-0.9003114911643764,1,1,-0.4902797934380587,0
177,0,3,0,5.441216717002968e-05,3,1,-0.13565761536436197,0
178,0,1,1,1.5622277316227593,0,0,-0.07030444769415023,1
179,0,2,0,0.02314071738079948,0,0,-0.3866707201133388,0
180,0,3,0,0.4848668216533874,0,0,-0.6484216535389205,0
181,0,3,1,5.441216717002968e-05,8,2,0.7519458402879414,0
182,0,2,0,5.441216717002968e-05,0,0,-0.34539461138084326,1
183,0,3,0,-1.5929006475732583,4,2,-0.016444159470040135,0
184,1,2,0,-2.2085354532700423,2,1,0.13683114673782454,0
185,1,3,1,-1.9776724011337483,0,2,-0.20495516825442542,0
186,0,1,0,5.441216717002968e-05,0,0,0.3583127057902398,0
187,1,3,1,5.441216717002968e-05,1,0,-0.3363340021468808,2
188,1,1,0,1.1774559780622693,0,0,-0.11384570873513637,0
189,0,3,0,0.7926842245017793,1,1,-0.3363340021468808,2
190,0,3,0,0.4848668216533874,0,0,-0.4894421904510968,0
191,1,2,1,0.17704941880499545,0,0,-0.3866707201133388,0
192,0,2,0,-0.8233571404522784,0,0,-0.3866707201133388,0
193,1,3,1,-0.8233571404522784,1,0,-0.4902797934380587,0
194,1,2,0,-2.0546267518458463,1,1,-0.12491978668775715,0
195,1,1,1,1.1005016273501713,0,0,-0.09027201697708476,1
196,1,1,1,2.1778625373195433,0,0,2.301728820789,1
197,0,3,0,5.441216717002968e-05,0,0,-0.49237782784290063,2
198,0,3,0,0.9465929259259753,0,1,-0.47920571548543794,0
199,1,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
200,0,2,1,-0.43858538689178844,0,0,-0.3866707201133388,0
201,0,3,0,-0.13076798404339648,0,0,-0.45714212526638004,0
202,0,3,0,5.441216717002968e-05,8,2,0.7519458402879414,0
203,0,3,0,0.3309581202291914,0,0,-0.5176307525123133,0
204,0,3,0,1.2159331534183182,0,0,-0.5029485386158568,1
205,1,3,0,-0.9003114911643764,0,0,-0.4863374216869257,0
206,0,3,1,-2.131581102557944,0,1,-0.43776248884929375,0
207,0,3,0,0.17704941880499545,1,0,-0.32928686163157667,0
208,1,3,0,-0.28467668546759245,0,0,-0.2701412180209885,1
209,1,3,1,-1.0542201925885724,0,0,-0.49237782784290063,2
210,1,1,0,0.7926842245017793,0,0,-0.024246350754841113,1
211,0,3,0,-0.43858538689178844,0,0,-0.5064721088735089,0
212,1,2,1,0.4079124709412894,0,0,-0.22559322262067316,0
213,0,3,0,-0.5924940883159844,0,0,-0.5024451714361923,0
214,0,2,0,0.02314071738079948,0,0,-0.3866707201133388,0
215,0,3,0,5.441216717002968e-05,1,0,-0.49237782784290063,2
216,1,1,1,0.10009506809289746,1,0,1.6323350375212924,1
217,1,3,1,-0.20772233475549448,0,0,-0.4888542575852486,0
218,0,2,0,0.9465929259259753,1,0,-0.10478509950117394,0
219,1,1,1,0.17704941880499545,0,0,0.8876878608937296,1
220,0,2,0,0.02314071738079948,0,0,-0.43700743807979686,0
221,1,3,0,-1.0542201925885724,0,0,-0.4863374216869257,0
222,0,2,0,-0.20772233475549448,0,0,-0.3866707201133388,0
223,0,3,0,1.6391820823348573,0,0,-0.4863374216869257,0
224,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
225,1,1,0,0.6387755230775833,1,0,1.163700193253568,0
226,0,3,0,-0.5924940883159844,0,0,-0.4601623283443675,0
227,1,2,0,-0.8233571404522784,0,0,-0.43700743807979686,0
228,0,3,0,-0.7079256143841314,0,0,-0.5024451714361923,0
229,0,2,0,-0.9003114911643764,0,0,-0.3866707201133388,0
230,0,3,1,5.441216717002968e-05,3,1,-0.13565761536436197,0
231,1,1,1,0.4079124709412894,1,0,1.0323213593611125,0
232,0,3,0,-0.05381363333129851,0,0,-0.4918744606632361,0
233,0,2,0,2.254816888031641,0,0,-0.3766033765200472,0
234,1,3,1,-1.9007180504216503,4,2,-0.016444159470040135,0
235,0,2,0,-0.43858538689178844,0,0,-0.43700743807979686,0
236,0,3,1,5.441216717002968e-05,0,0,-0.49640476528021726,0
237,0,2,0,1.1005016273501713,1,0,-0.12491978668775715,0
238,1,2,1,-1.6698549982853563,0,2,-0.11988611489111134,0
239,0,2,0,-0.8233571404522784,0,0,-0.43700743807979686,0
240,0,2,0,0.25400376951709347,0,0,-0.4012683683236117,0
241,0,3,1,5.441216717002968e-05,1,0,-0.3573908580066095,1
242,1,3,1,5.441216717002968e-05,1,0,-0.3363340021468808,2
243,0,2,0,-0.05381363333129851,0,0,-0.43700743807979686,0
244,0,3,0,-0.5924940883159844,0,0,-0.5049620073345151,0
245,0,3,0,0.02314071738079948,0,0,-0.5029485386158568,1
246,0,1,0,1.1005016273501713,2,0,1.163700193253568,2
247,0,3,1,-0.36163103617969045,0,0,-0.4918744606632361,0
248,1,2,1,-0.43858538689178844,0,2,-0.35646868933346404,0
249,1,1,0,0.5618211723654855,1,1,0.40974072380221066,0
250,0,2,0,1.8700451344711513,1,0,-0.12491978668775715,0
251,0,3,0,5.441216717002968e-05,0,0,-0.5024451714361923,0
252,0,3,1,-0.05381363333129851,1,1,-0.43776248884929375,0
253,0,1,0,2.4856799401679353,0,0,-0.11384570873513637,0
254,0,3,0,0.02314071738079948,1,0,-0.32425318983493084,0
255,0,3,1,0.8696385752138773,0,2,-0.2414492887801075,0
256,1,3,1,-0.05381363333129851,0,2,-0.3414522396297103,1
257,1,1,1,5.441216717002968e-05,0,0,0.9462455716384695,1
258,1,1,1,0.02314071738079948,0,0,1.093228788100527,0
259,1,1,1,0.4079124709412894,0,0,9.667166525013505,1
260,1,2,1,1.5622277316227593,0,1,-0.12491978668775715,0
261,0,3,0,5.441216717002968e-05,0,0,-0.49237782784290063,2
262,1,3,0,-2.0546267518458463,4,2,-0.016444159470040135,0
263,0,1,0,1.7161364330469553,1,1,0.955306180872432,0
264,0,1,0,0.7926842245017793,0,0,-0.6484216535389205,0
265,0,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
266,0,2,0,0.4848668216533874,0,0,-0.43700743807979686,0
267,0,3,0,-1.0542201925885724,4,1,0.1506737441786005,0
268,1,3,0,-0.36163103617969045,1,0,-0.4918744606632361,0
269,1,1,1,2.1778625373195433,0,1,2.441497778832105,0
270,1,1,1,0.4079124709412894,0,0,2.0825124140450755,0
271,0,1,0,5.441216717002968e-05,0,0,-0.024246350754841113,0
272,1,3,0,-0.36163103617969045,0,0,-0.6484216535389205,0
273,1,2,1,0.8696385752138773,0,1,-0.255795253400548,0
274,0,1,0,0.5618211723654855,0,1,-0.05042144409739929,1
275,1,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
276,1,1,1,2.562634290880033,1,0,0.921244330558889,0
277,0,3,1,1.1774559780622693,0,0,-0.49237782784290063,0
278,0,2,0,5.441216717002968e-05,0,0,-0.6484216535389205,0
279,0,3,0,-1.7468093489974543,4,1,-0.06199888922968463,2
280,1,3,1,0.4079124709412894,1,1,-0.24069423801061057,0
281,0,3,0,2.716542992304229,0,0,-0.49237782784290063,2
282,0,3,0,-0.13076798404339648,0,0,-0.4902797934380587,0
283,0,3,0,-1.0542201925885724,0,0,-0.45714212526638004,0
284,1,3,0,-0.8233571404522784,0,0,-0.4863374216869257,0
285,0,1,0,5.441216717002968e-05,0,0,-0.12491978668775715,0
286,0,3,0,0.25400376951709347,0,0,-0.47400492578514347,1
287,1,3,0,0.02314071738079948,0,0,-0.45714212526638004,0
288,0,3,0,-0.5924940883159844,0,0,-0.4894421904510968,0
289,1,2,0,0.9465929259259753,0,0,-0.3866707201133388,0
290,1,3,1,-0.5924940883159844,0,0,-0.49237782784290063,2
291,1,1,1,-0.28467668546759245,0,0,0.9391984311231651,0
292,1,1,1,-0.8233571404522784,1,0,1.1854295476653287,1
293,0,2,0,0.4848668216533874,0,0,-0.3891875560116617,1
294,0,3,1,-0.43858538689178844,0,0,-0.4702296719376591,0
295,0,3,0,-0.43858538689178844,0,0,-0.4894421904510968,0
296,0,1,0,5.441216717002968e-05,0,0,-0.09027201697708476,1
297,0,3,0,-0.47706256224783744,0,0,-0.5028639729296732,1
298,0,1,1,-2.131581102557944,1,2,2.4029901895877646,0
299,1,1,0,5.441216717002968e-05,0,0,-0.034313694348132716,0
300,1,1,1,1.5622277316227593,0,1,4.335332226633905,1
301,1,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
302,1,3,0,5.441216717002968e-05,2,0,-0.18029017645086096,2
303,0,3,0,-0.8233571404522784,0,0,-0.6484216535389205,0
304,1,2,1,5.441216717002968e-05,0,0,-0.3997582667846179,2
305,0,3,0,5.441216717002968e-05,0,0,-0.4863374216869257,0
306,1,1,0,-2.21469180132701,1,2,2.4029901895877646,0
307,1,1,1,5.441216717002968e-05,0,0,1.5841789061771412,1
308,1,1,1,-0.9772658418764744,1,0,1.5442457810799908,1
309,0,2,0,0.02314071738079948,1,0,-0.16518916106092355,1
310,1,1,1,0.02314071738079948,0,0,0.49782998024351216,1
311,1,1,1,-0.43858538689178844,0,0,1.0259447039291216,1
312,1,1,1,-0.9003114911643764,2,2,4.634416897040849,1
313,0,2,1,-0.28467668546759245,1,1,-0.12491978668775715,0
314,0,3,0,-0.13076798404339648,0,0,-0.4894421904510968,0
315,0,2,0,1.0235472766380733,1,1,-0.11988611489111134,0
316,1,3,1,-0.28467668546759245,0,0,-0.4902797934380587,0
317,1,2,1,-0.43858538689178844,1,0,-0.12491978668775715,0
318,0,2,0,1.8700451344711513,0,0,-0.36653603292675563,0
319,1,1,1,0.10009506809289746,0,2,2.671117778445337,0
320,1,1,1,0.7926842245017793,1,1,2.059693773056521,1
321,0,3,0,-0.5924940883159844,0,0,-0.5024451714361923,0
322,0,3,0,-0.20772233475549448,0,0,-0.4894421904510968,0
323,1,2,1,0.02314071738079948,0,0,-0.3997582667846179,2
324,1,2,1,-0.5924940883159844,1,1,-0.06451572512800753,0
325,0,3,0,5.441216717002968e-05,8,2,0.7519458402879414,0
326,1,1,1,0.4848668216533874,0,0,2.0825124140450755,1
327,0,3,0,2.408725589455837,0,0,-0.5228315422126077,0
328,1,2,1,0.4848668216533874,0,0,-0.3866707201133388,0
329,1,3,1,0.10009506809289746,1,1,-0.2351571990343002,0
330,1,1,1,-1.0542201925885724,0,1,0.5189714017894245,1
331,1,3,1,5.441216717002968e-05,2,0,-0.18029017645086096,2
332,0,1,0,1.2159331534183182,0,0,-0.07458306872129913,0
333,0,1,0,0.6387755230775833,0,1,2.441497778832105,0
334,0,3,0,-1.0542201925885724,2,0,-0.2859972841804228,0
335,1,1,1,5.441216717002968e-05,1,0,2.042579288947925,0
336,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
337,0,1,0,-0.05381363333129851,1,0,0.6925485130875209,0
338,1,1,1,0.8696385752138773,0,0,2.059693773056521,1
339,1,3,0,1.1774559780622693,0,0,-0.4863374216869257,0
340,0,1,0,1.1774559780622693,0,0,0.06635974158478332,0
341,1,2,0,-2.131581102557944,1,1,-0.12491978668775715,0
342,1,1,1,-0.43858538689178844,3,2,4.647001076532463,0
343,0,2,0,-0.13076798404339648,0,0,-0.3866707201133388,0
344,0,2,0,-0.36163103617969045,0,0,-0.3866707201133388,0
345,0,2,0,0.4848668216533874,0,0,-0.3866707201133388,0
346,1,2,1,-0.43858538689178844,0,0,-0.3866707201133388,0
347,1,2,1,0.7926842245017793,0,0,-0.3866707201133388,0
348,1,3,1,5.441216717002968e-05,1,0,-0.32425318983493084,0
349,1,3,0,-2.0546267518458463,1,1,-0.32828012727224753,0
350,0,3,0,0.9465929259259753,0,0,-0.47400492578514347,0
351,0,3,0,-0.5155397376038864,0,0,-0.4626791642426904,0
352,0,1,0,5.441216717002968e-05,0,0,0.05629239799149171,0
353,0,3,0,-1.1311745433006704,1,1,-0.5028639729296732,1
354,0,3,0,-0.36163103617969045,1,0,-0.29002422161773944,0
355,0,3,0,5.441216717002968e-05,0,0,-0.5029485386158568,1
356,0,3,0,-0.13076798404339648,0,0,-0.45714212526638004,0
357,1,1,1,-0.5924940883159844,0,1,0.4589861417231558,0
358,0,2,1,0.6387755230775833,0,0,-0.3866707201133388,0
359,1,3,1,5.441216717002968e-05,0,0,-0.48977642625839407,2
360,1,3,1,5.441216717002968e-05,0,0,-0.48977642625839407,2
361,0,3,0,0.7926842245017793,1,4,-0.08666388103324908,0
362,0,2,0,-0.05381363333129851,1,0,-0.09027201697708476,1
363,0,3,1,1.1774559780622693,0,1,-0.3573908580066095,1
364,0,3,0,0.4079124709412894,0,0,-0.5064721088735089,0
365,0,3,0,5.441216717002968e-05,1,0,-0.3363340021468808,2
366,0,3,0,0.02314071738079948,0,0,-0.5024451714361923,0
367,1,1,1,2.3317712387437393,1,0,0.8667135572514657,1
368,1,3,1,5.441216717002968e-05,0,0,-0.5028639729296732,1
369,1,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
370,1,1,1,-0.43858538689178844,0,0,0.7469121684912956,1
371,1,1,0,-0.36163103617969045,1,0,0.4678796330534696,1
372,0,3,0,-0.9003114911643764,1,0,-0.5176307525123133,0
373,0,3,0,-0.8233571404522784,0,0,-0.4863374216869257,0
374,0,1,0,-0.5924940883159844,0,0,2.0825124140450755,1
375,0,3,1,-2.0546267518458463,3,1,-0.22408312108167944,0
376,1,1,1,5.441216717002968e-05,1,0,1.0060617003323709,1
377,1,3,1,-0.5924940883159844,0,0,-0.5024451714361923,0
378,0,1,0,-0.20772233475549448,0,2,3.610064686423428,1
379,0,3,0,-0.7464027897401804,0,0,-0.5676312212027554,1
380,0,3,0,-0.8233571404522784,0,0,-0.4918744606632361,0
381,1,1,1,0.9465929259259753,0,0,3.9327230485884233,1
382,1,3,1,-2.2085354532700423,0,2,-0.33146744825388363,1
383,0,3,0,0.17704941880499545,0,0,-0.4888542575852486,0
384,1,1,1,0.4079124709412894,1,0,0.39858208016340624,0
385,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
386,0,2,0,-0.9003114911643764,0,0,0.8314778546749452,0
387,0,3,0,-2.2085354532700423,5,2,0.2958951755118318,0
388,1,2,1,0.4848668216533874,0,0,-0.3866707201133388,0
389,0,3,0,5.441216717002968e-05,0,0,-0.49279662933638163,2
390,1,2,1,-0.9772658418764744,0,0,-0.40680540729992204,1
391,1,1,0,0.4848668216533874,1,2,1.7677408088510642,0
392,1,3,0,-0.6694484390280824,0,0,-0.49145565916975514,0
393,0,3,0,-0.13076798404339648,2,0,-0.4888542575852486,0
394,1,1,1,-0.5155397376038864,1,0,1.6323350375212924,1
395,1,3,1,-0.43858538689178844,0,2,-0.312172377522981,0
396,0,3,0,-0.5924940883159844,0,0,-0.49145565916975514,0
397,0,3,1,0.10009506809289746,0,0,-0.4902797934380587,0
398,0,2,0,1.2544103287743673,0,0,-0.12491978668775715,0
399,0,2,0,-0.5155397376038864,0,0,-0.43700743807979686,0
400,1,2,1,-0.13076798404339648,0,0,-0.393717860628643,0
401,1,3,0,0.7157298737896813,0,0,-0.4888542575852486,0
402,0,3,0,-0.28467668546759245,0,0,-0.4863374216869257,0
403,0,3,1,-0.6694484390280824,1,0,-0.4505983519307405,0
404,0,3,0,-0.13076798404339648,1,0,-0.32928686163157667,0
405,0,3,1,-0.7464027897401804,0,0,-0.47400492578514347,0
406,0,2,0,0.3309581202291914,1,0,-0.22559322262067316,0
407,0,3,0,1.6391820823348573,0,0,-0.49237782784290063,0
408,1,2,0,-2.0546267518458463,1,1,-0.2708962687904854,0
409,0,3,0,-0.6694484390280824,0,0,-0.4918744606632361,0
410,0,3,1,5.441216717002968e-05,3,1,-0.13565761536436197,0
411,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
412,0,3,0,5.441216717002968e-05,0,0,-0.5103319284071769,2
413,1,1,1,0.25400376951709347,1,0,1.163700193253568,2
414,0,2,0,5.441216717002968e-05,0,0,-0.6484216535389205,0
415,1,3,0,1.1005016273501713,0,0,-0.4888542575852486,0
