Id,OverallScore,Subject,MainText,SpamStatus,SubjectSpam,MainTextSpam
99_229577_2,4,Miss distance from current location,Really need to know how far a restaurant is from my current location so that I don't hAve to take a cab from hotel or fight traffics Would like to know what's near me Too bad it has the makings of a great app Back to yelp,0,0,0
99_229585_2,8,Like trip advise don't like app,Search engine not complete Searched for house rentals in Healdsburg CA Having friends there I know that there are more than 16 b bs Also no results for house rentals in the valley Love trip advisor and use it often on the computer but this app doesn't provide you with proper search options,0,0,0
99_229594_2,8,Hummmmm,bought the app worked good the first time now it opens with just the home page wont do anything else disappointed,0,0,0
99_229596_2,20,Wonderful,I use this app traveling through six countries in Europe over a period of three weeks and it was flawless The off line option always worked great Do not expect this map to give you distances from place to place it will not do that But once you get into a city if you want to get around this cannot be beat ,0,0,0
99_229600_2,16,APD,I listen to it a lot However it will once in a while disconnect for no apparent reason When it disconnects it will repeat previous transmissions I would like more APD and less Fire and Ambulance Great app ,0,0,0
99_229613_2,4,terrible,doesn't load properly on my 3GS with the latest iOS used to show picture relating to current weather but not anymore radar map takes forever to load ,0,0,0
99_229614_2,4,Terrible,The only thing this is good for is starting documents If you try to upload your documents from google documents the document is just gray ,0,0,0
99_229620_2,20,Cool,It is the best app ever ,0,0,0
99_229622_2,12,Opted out,I was using the app which seemed great until I noticed it was posting to my fb page even though I opted out Deleted app because it doesn't give you the option again after the fact,0,0,0
99_229624_2,12,Freezes during payment processing,The app is fine but the one thing and really only thing you need it for isn't working I attempted to pay a bill using the credit card already on file and after several minutes of beach ball froze the app I had to go to the website to pay my bill ,0,0,0
99_229640_2,4,Ok,Needs to be less crazy,0,0,0
99_229642_2,4,It's stupid,You can't download any videos into your phone Like come on I don't know why yahoo would do this to me making a deal with Dropbox,0,0,0
99_229652_2,4,Frozen Screen,Spent many hours successfully transporting pictures Site then froze when I needed to export All pictures are locked and frozen I keep trying to re access the app site with no success,0,0,0
99_229655_2,4,It keeps sayin updating,I can't open the goddamn app,0,0,0
99_229658_2,4,Rubbish,Cannot open any saved files,0,0,0
99_229660_2,8,App Fails on 411KB upload,The latest revision as of 10 January 2013 loops endlessly when trying to upload a 411KB file Had to email it to move to another device,0,0,0
99_229667_2,4,Can't trust it,I really wanted a note system I could trust but Evernote just lost all my notes on the upgrade,0,0,0
99_229673_2,4,BROKEN,No notes showing up All the notebooks are there but they are all empty Boo,0,0,0
99_229680_2,4,This Website is a Fraud,Most of the hotel reviews especially from poor hotels are fake and most likely posted by employees Notice how after a negative review is posted it is invariably followed by several glowing reviews And because TripAdvisor is paid by the hotels listed on this site they will remove negative reviews if pressured by the hotel,0,0,0
99_229682_2,8,No Saved Trips,Unable to save forum posts that are the most useful suggestions when out on a trip No Saved Trips that you personally put together to assist you when out about with your mobile What good is that Not many will find a wifi and open their laptop,0,0,0
99_229698_2,4,No preview,Older versions of this app used to allow me to preview word excel and pdf documents While the preview pane is still there the app just tells me the file name and size and does NOT display the content Completely useless,0,0,0
99_229700_4,2,rating,No help function Wtf No idea how it works Just kept blowing myself up ,0,0,0
99_229701_4,2,rating,Paid app and still needs to pay more Really ,0,0,0
99_229702_4,2,rating,good game but I paid for it and not only do you now charge for all the extras but you serve me ads too ,0,0,0
99_229705_4,2,rating,Very bad,0,0,0
99_229706_4,2,rating,Waste of money Not downloading,0,0,0
99_229707_4,2,rating,My gallery app does better than this Trash,0,0,0
99_229708_4,2,rating,Pathetic,0,0,0
99_229709_4,2,rating,Galaxy Note2 This paid app Sucks there is NO PM option like on the free app,0,0,0
99_229711_4,2,rating,This game sucks,0,0,0
99_229713_4,2,rating,Pile of sh t worst app ever ,0,0,0
99_229714_4,2,rating,Good but wth Its a good camera and everything but it used 1 00gb of my data last month What the heck is that What is this sending out ,0,0,0
99_229715_4,2,rating,Lame Just stick to Auto Awesome on Google ,0,0,0
99_229716_4,2,rating,Not gooood at all I don't like at all u can download only one pic i want to download albums or videos tooo that's sucks ,0,0,0
99_229717_4,2,rating,summer ok,0,0,0
99_229720_4,2,rating,Terrible,0,0,0
99_229721_4,2,rating,Upside down HTC one Yes upside down,0,0,0
99_229722_4,2,rating,Good Good,0,0,0
99_229724_4,2,rating,Rubbish,0,0,0
99_229725_4,2,rating,Awsis Very nice app,0,0,0
99_229726_4,2,rating,I,0,0,0
99_229727_4,2,rating,I have already paid I paid for the game now they want more money for the whole experience ,0,0,0
99_229728_4,2,rating,Hk 7 7 only So cheap ,0,0,0
99_229729_4,2,rating,Lousy This print tool is not worth your money ,0,0,0
99_229730_4,2,rating,Not free,0,0,0
99_229732_4,2,rating,Nice,0,0,0
99_229733_4,2,rating,Poor in comparison with Yahoo and Outlook Poor,0,0,0
99_229736_4,2,rating,Poor Don't care for it,0,0,0
99_229738_4,2,rating,Get it working This game hasn't worked on my phone for months now ,0,0,0
99_229740_4,2,rating,imran is good,0,0,0
99_229741_4,4,rating,Online mode is awful Dont buy if you expect to play others online Servers are abysmal and its getting to the point of pointlessness in trying to get a game going ,0,0,0
99_229742_4,4,rating,Need help How do I connect to my game server Thank You but only 2 stars till I get an answer D,0,0,0
99_229743_4,4,rating,dnt dwnload it has very few editing tools but the black white effect are so many types it is really impressive,0,0,0
99_229744_4,4,rating,J ,0,0,0
99_229745_4,4,rating,In between,0,0,0
99_229747_4,4,rating,Blahh,0,0,0
99_229748_4,4,rating,I lov Mmmm,0,0,0
99_229749_4,4,rating,Nice Call you me,0,0,0
99_229752_4,4,rating,I want my money back The one thing I hate about it always doesn't work it works when it wants to apps should be 99 cents instead of three dollars I don't think it's worth 3 I recommend you do not buy it unless you have money to waste ,0,0,0
99_229753_4,4,rating,a a,0,0,0
99_229754_4,4,rating,Good Good aps,0,0,0
99_229756_4,4,rating,Abysmal controls and AI repetitive campaign Fun game abysmal controls and AI Why on earth team 17 opted for touch controls instead of virtual arrows or a d pad I have no idea Now the AI uses grenades or bazooka about 90 percent of the time with absolute perfection Calculating wind speeds and never missing a single shot even if it is necessary to shoot in the complete opposite direction and rely solely on wind Please make it more human and make it use the other weapons a lot more often Plus the campaign is just skirmish no actual missions ,0,0,0
99_229757_4,4,rating,Nice I like it,0,0,0
99_229759_4,4,rating,AVG Tried and tried and tried to use the AVG find my phone part of this app Didn't find it once just kept saying try later so I did and kept on trying I paid for this app so I kind of expect it to work Not enough to the app either Dull to use looks Dull and had I not paid for it I would delete in a heart beat ,0,0,0
99_229761_4,4,rating,Good Nice ,0,0,0
99_229762_4,4,rating,yo yo,0,0,0
99_229763_4,4,rating,Bisso Pp,0,0,0
99_229764_4,4,rating,Not horrible but All in all it's in the tradition of the franchise In campaign mode it's pretty annoying that the AI never misses and the wind is always exactly what it needs to hit ,0,0,0
99_229766_4,4,rating,Specs fail I noticed the same on my note 2 it says tht i have dual core ,0,0,0
99_229767_4,4,rating,Grt Gud,0,0,0
99_229768_4,4,rating,Android Very nice app,0,0,0
99_229769_4,4,rating,Same old worms terrible controls The developer has opted for the classic tap either side of the screen to move and drag the reticle to aim touch control system it does not support controller or keyboard input The result is a control system that is borderline unresponsive and makes fine movement or fast movement completely inefficient This game is so tedious to play it certainly isn't worth the hefty price tag associated with it If you bought this during the sale you got a great deal but as someone who paid full price to support Team 17 I'm disappointed in this lackluster port Overall the game is a great example of what can happen to a great idea when it's executed poorly I am however happy to give Team 17 a few extra dollars and hope they make improvements over time ,0,0,0
99_229770_4,4,rating,Money ripping I have played this game on pc and realised it was released for android platform As soon as i downloaded it and payed for it it is ridiculous that they are still charging so much money for other mini games available in the game Really disappointed with this Please resolve this issue n i'll give this game a 5 star ,0,0,0
99_229771_4,4,rating,See,0,0,0
99_229772_4,4,rating,Ok,0,0,0
99_229774_4,4,rating,Good Like,0,0,0
99_229775_4,4,rating,Lack there of ,0,0,0
99_229776_4,4,rating,Good app I really like the functionality and flexibility this app offers ,0,0,0
99_229777_4,4,rating,Avg Its gud,0,0,0
99_229779_4,4,rating,OK not the best,0,0,0
99_229780_4,4,rating,facebook,0,0,0
99_229783_4,4,rating, I don't know how to get contacts ,0,0,0
99_229784_4,4,rating,Well I think its pricy Now complicated,0,0,0
99_229785_4,4,rating,Pankaj Nice ,0,0,0
99_229786_4,4,rating,Old is Better,0,0,0
99_229789_4,4,rating,Yes Yes,0,0,0
99_229790_4,4,rating,Donzii I like PicsArt,0,0,0
99_229791_4,6,rating,Nice but limited use Limited options stickers etc are available,0,0,0
99_229792_4,6,rating,Goood Gooooooood,0,0,0
99_229793_4,6,rating,Nice Very nice dhis apps,0,0,0
99_229794_4,6,rating,i love it nice,0,0,0
99_229795_4,6,rating,Its good,0,0,0
99_229796_4,6,rating,Nice Its useful,0,0,0
99_229797_4,6,rating,Good Its very good for android,0,0,0
99_229798_4,6,rating,Good Nice time killer,0,0,0
99_229799_4,6,rating,Its the best Its really cool ,0,0,0
99_229800_4,6,rating,Mr Are u spying us ,0,0,0
99_229801_4,6,rating,Not bad For a mobile game ya can't complain ,0,0,0
99_229802_4,6,rating,Awesome Thrilling,0,0,0
99_229804_4,6,rating,Good Very Good,0,0,0
99_229805_4,6,rating,Average Good,0,0,0
99_229806_4,6,rating,A great brain game but a little east Easy very easy,0,0,0
99_229807_4,6,rating,Nice Its amazing,0,0,0
99_229808_4,6,rating,Good,0,0,0
99_229809_4,6,rating,Pretty app I just downloaded and i dot know what happen next hopely fine ok ,0,0,0
99_229810_4,6,rating,Works Ok ,0,0,0
99_229812_4,6,rating,paste pasta is very hot,0,0,0
99_229814_4,6,rating,F,0,0,0
99_229815_4,6,rating,Awesome Nice,0,0,0
99_229816_4,6,rating,Improving Way to go ,0,0,0
99_229817_4,6,rating,Passt Naja,0,0,0
99_229818_4,6,rating,Better than it used to be Still needs significant amounts of work ,0,0,0
99_229819_4,6,rating,Yes Hoping to use for school ,0,0,0
99_229820_4,6,rating,2 mounth Good apps for mobile,0,0,1
99_229821_4,6,rating,Puta Ok,0,0,0
99_229822_4,6,rating,This is an ok app I still love it doe Not amazing but not terrible c ,0,0,0
99_229823_4,6,rating,nice it's nice,0,0,0
99_229824_4,6,rating,Best I like it I can use it everyday,0,0,0
99_229825_4,6,rating,annoying multiplayer issues other than that it is a great port would give 5 stars if multiplayer worked properly ,0,0,0
99_229826_4,6,rating,It's cool with me,0,0,0
99_229827_4,6,rating,Great zoom function for Galaxy tab 2 Only 3 stars because focus is blurry when you zoom in on a picture ,0,0,0
99_229828_4,6,rating,Good Its nice,0,0,0
99_229829_4,6,rating,Gr8 Gk,0,0,0
99_229830_4,6,rating,Lilli Cool,0,0,0
99_229831_4,6,rating,Getting better,0,0,0
99_229832_4,6,rating,Average,0,0,0
99_229834_4,6,rating,Boo I don't like the annual subscription cost so I won't upgrade to pro I'd gladly pay a one time fee but apparently that's not an option anymore ,0,0,0
99_229835_4,6,rating,Can't believe I paid for this Kingsoft is better ,0,0,0
99_229836_4,6,rating,Simply good,0,0,0
99_229837_4,6,rating,Yea Yea,0,0,0
99_229838_4,6,rating,Are you kidding me Its a good game but I just bought it and now it 80 off Really ,0,0,0
99_229839_4,6,rating,Samsung galaxy s4 Cute app,0,0,0
99_229840_4,6,rating,good job its far better than other apps but needs to still work on frames and more effects ,0,0,0
99_229841_4,6,rating,Seems ok will see,0,0,0
99_229842_4,6,rating,Is gud Nice ,0,0,0
99_229843_4,6,rating,Bakwas,0,0,0
99_229844_4,6,rating,Good,0,0,0
99_229845_4,6,rating,Shark dull,0,0,0
99_229846_4,6,rating,Okay This game is great Can't what for the new one,0,0,0
99_229850_4,6,rating,Not bad It is fast and smooth but it could use a restyling,0,0,0
99_229852_4,6,rating, Not bad,0,0,0
99_229853_4,6,rating,Ok Ok,0,0,0
99_229856_4,6,rating,very useful and active I choice it,0,0,0
99_229858_4,6,rating,Not safe brouse,0,0,0
99_229860_4,6,rating,Good Very good,0,0,0
99_229861_4,6,rating,useful force close,0,0,0
99_229862_4,6,rating,Pritty good overall Could use some more scenes from movies ,0,0,0
99_229863_4,6,rating,Love it m o,0,0,0
99_229864_4,6,rating,Good but bad,0,0,0
99_229865_4,6,rating,Keep going Needs better tagging,0,0,0
99_229867_4,6,rating,good aplication kereeeeennnnnn,0,0,0
99_229868_4,6,rating,Nice Nice aplikasi,0,0,0
99_229869_4,6,rating, 3 One wrd to say Cool,0,0,0
99_229870_4,6,rating,I love the makeup options I will rate it with 5 stars once I'm able to do the hair,0,0,0
99_229871_4,6,rating,So nice Nice,0,0,0
99_229872_4,6,rating,Useful Apps Okay,0,0,0
99_229874_4,6,rating,Good Its very excellent ,0,0,0
99_229875_4,6,rating,Well The size is good,0,0,0
99_229876_4,6,rating,Great app ,0,0,0
99_229877_4,6,rating,Ok Not that much good,0,0,0
99_229878_4,8,rating,good job,0,0,0
99_229879_4,8,rating,fantastic great app,0,0,0
99_229880_4,8,rating,Nice Great,0,0,0
99_229883_4,8,rating,Super Super,0,0,0
99_229884_4,8,rating,Hi Cool,0,0,0
99_229885_4,8,rating,It'sNice aap Good,0,0,0
99_229886_4,8,rating,This is a good app Nice,0,0,0
99_229887_4,8,rating,app good i like,0,0,0
99_229888_4,8,rating,Andrew Excellent scanning app ,0,0,0
99_229889_4,8,rating,Line Want,0,0,0
99_229890_4,8,rating,cute,0,0,0
99_229892_4,8,rating,Its cool Nice,0,0,0
99_229893_4,8,rating,Good Others have to try,0,0,0
99_229894_4,8,rating,Fun app A simple and fun app Everyone needs to give it a try ,0,0,0
99_229895_4,8,rating,Good Good,0,0,0
99_229896_4,8,rating,Good Nice app But it keeps breaking up Dont know why but just bcoz of this prblm i could have given 5 stars Nice work by avairy team ,0,0,0
99_229897_4,8,rating,Hi am nasi Its very good for all,0,0,0
99_229898_4,8,rating,Good Thank,0,0,0
99_229900_4,8,rating,Awesome y It is really too good 3,0,0,0
99_229903_4,8,rating,Ghh,0,0,0
99_229906_4,8,rating,Great game Love the gameplay,0,0,0
99_229909_4,8,rating,Just a better all around browser That makes en e ,0,0,0
99_229910_4,8,rating,Nice Nice,0,0,0
99_229911_4,8,rating,Good Good but takes up too mucg space,0,0,0
99_229912_4,8,rating,Pretty good Awesome graphics,0,0,0
99_229913_4,8,rating, 4 Nice,0,0,0
99_229914_4,8,rating,Nice Pretty nice app,0,0,0
99_229915_4,8,rating,Class Good Be sure to like my page 'batman arkham origins the game ',0,0,0
99_229916_4,8,rating,It rock The is rule,0,0,0
99_229917_4,8,rating,Nice one Interesting,0,0,0
99_229918_4,8,rating,Nice app Would be better with more mods,0,0,0
99_229919_4,8,rating,This app is good,0,0,0
99_229920_4,8,rating,Works well Good application,0,0,0
99_229921_4,8,rating,Love it Great browser I prefer Chrome because it seems a little less touchy that Firefox but I just need to get used to it ,0,0,0
99_229922_4,8,rating,Good app Useful for my needs ,0,0,0
99_229923_4,8,rating,very creative very good nice work ,0,0,0
99_229924_4,8,rating,Addicted Good game ducked me in got new phone trying to recover doc isn't easy,0,0,0
99_229925_4,8,rating,Great Awesome,0,0,0
99_229927_4,8,rating,Good Just started using xD,0,0,0
99_229929_4,8,rating,Good Goodd,0,0,0
99_229930_4,8,rating, D Not bad ,0,0,0
99_229931_4,8,rating,Love it easy accesss,0,0,0
99_229932_4,8,rating,Amazing I love using skype so I can video with family x,0,0,0
99_229933_4,8,rating,Cool baby Sweet ,0,0,0
99_229934_4,8,rating,I like it It's a good app better looking now ,0,0,0
99_229935_4,8,rating,Good Good but does this app only works when theres internet connetion ,0,0,0
99_229936_4,8,rating,many many things to njoy with your photos Thanks ,0,0,0
99_229937_4,8,rating,Memr Cool,0,0,0
99_229938_4,8,rating,The best one suggestion I'd love to see an option for TRUE black and white saves not just an option for high contrast greyscale That way CCITT compression could be used and the space saving would be dramatic 90 percent of my scans would be fine in high rez 1 bit I've yet to see another app that can save to 1 bit though they can be read by most PDF viewers but given storage size concerns I don't see why scan apps don't include this as an option Great job on all the rest though ,0,0,0
99_229939_4,8,rating,H J,0,0,0
99_229940_4,8,rating,Nice Gameplay takes head to head with desktop gaming devices version,0,0,0
99_229941_4,8,rating,Nice app to compose your photos ,0,0,0
99_229942_4,8,rating,Great app for photo collection,0,0,0
99_229943_4,8,rating,So far no in app purchases ,0,0,0
99_229945_4,8,rating,Nice app Nice application Keeps boredom away,0,0,0
99_229946_4,8,rating,Love the application,0,0,0
99_229947_4,8,rating,Very good app But some of the photos come out too pixilated ,0,0,0
99_229948_4,8,rating,Nice antivirus One of great antivirus,0,0,0
99_229950_4,8,rating,Its a start Ive been hounding facebook for about a year to develop this app for Android ever since the ios app released so far it's a start and most of us know that Keep up the good work make just as if not better than the ios app ,0,0,0
99_229951_4,8,rating,Good Nice,0,0,0
99_229952_4,8,rating,Above average I love this app Realistic beauty tweaks and airbrush No pop ups or glitches ,0,0,0
99_229953_4,8,rating,Good App for easy pic editing Worth paying for the pro version so far anyway ,0,0,0
99_229955_4,8,rating,Cute I love it 3,0,0,0
99_229956_4,8,rating,Good app but no D in galaxy s4,0,0,0
99_229957_4,8,rating,Good This is a good app,0,0,0
99_229958_4,8,rating,VerY gOoD App I woUld GivE it 5 star if iT wOulD have LogoUt opTion,0,0,0
99_229959_4,8,rating,V k Nice,0,0,0
99_229963_4,8,rating,Excellent Excellent,0,0,0
99_229964_4,8,rating,To much Ganda,0,0,0
99_229967_4,8,rating,Shooter game Pretty awesome to be able to play a game on a tablet anywhere that has the feeling of an Xbox or playstation console,0,0,0
99_229968_4,8,rating,Gud I like it,0,0,0
99_229969_4,8,rating,Nice Really like the burst mode it captures every sec of a moment cant beat that for a cam app ,0,0,0
99_229970_4,8,rating,Not bad,0,0,0
99_229971_4,8,rating,Good This is better than old,0,0,0
99_229972_4,8,rating,Intaframe Downloaded it yesterday loving the app,0,0,0
99_229973_4,8,rating,N7100 Good quality,0,0,0
99_229974_4,8,rating,Using it in Titanium S5 Results are goodd enof,0,0,0
99_229975_4,8,rating,I like it,0,0,0
99_229976_4,8,rating,Cool Aburi must have,0,0,0
99_229978_4,8,rating,Good Best,0,0,0
99_229979_4,8,rating,yehh cool not bad ,0,0,0
99_229980_4,8,rating,Good App Love It ,0,0,0
99_229981_4,8,rating,Seems legit,0,0,0
99_229982_4,8,rating,Gud Nyc app,0,0,0
99_229983_4,8,rating,Ma,0,0,0
99_229984_4,8,rating,Awesome Used to be sooo jelaous of ppl with cam wow and retrica but now theyre jelaous of me Thanks ,0,0,0
99_229985_4,8,rating,Adhi Gooood,0,0,0
99_229986_4,8,rating,i rated 4 New here i dnt knw yet how ,0,0,1
99_229987_4,8,rating,So far pretty good,0,0,0
99_229988_4,8,rating,Are you listening ,0,0,0
99_229989_4,8,rating,Cool,0,0,0
99_229991_4,8,rating,Powerful camera app Mild learning curve but absolutely awesome ,0,0,0
99_229995_4,10,rating,Excellent Its Excellent I Have No Complaints ,0,0,0
99_229996_4,10,rating,Mantap,0,0,0
99_229997_4,10,rating,Nice V gud,0,0,0
99_229998_4,10,rating,greatest apps ever i love it great great app,0,0,0
99_229999_4,10,rating,10 out of 10 Great game Value for money ,0,0,0
99_230000_4,10,rating,Eureka Awesome,0,0,0
99_230001_4,10,rating,Good I like it too much,0,0,0
99_230002_4,10,rating,Great Awesome app ,0,0,0
99_230003_4,10,rating,Samsung galaxy tab Whoa this game is awesome I completed the adventure mode but I still play it as they add a twist the second time you play it I dont know what all this paying for the zen garden is about as it is freeand you unlock plants by playing more Im 12 this is a great game and the minigames are grear just a bit expensive for the miningames ,0,0,0
99_230004_4,10,rating,Best game I've played on Android,0,0,0
99_230005_4,10,rating,cull lik app,0,0,0
99_230006_4,10,rating,Best app Best working app ever used ,0,0,0
99_230007_4,10,rating,Awesome Love it,0,0,0
99_230008_4,10,rating,Excellent app Does everything I would expect in a mail app,0,0,0
99_230009_4,10,rating,Amazing appss do it all nice one,0,0,0
99_230010_4,10,rating,Hi Nice ,0,0,0
99_230011_4,10,rating,Amazing Working perfect Samsung Galaxy S4 ,0,0,0
99_230012_4,10,rating,Epic,0,0,0
99_230013_4,10,rating,Yeh Nice app 4 me ,0,0,0
99_230014_4,10,rating,Awesome photo editor I love this app ,0,0,0
99_230015_4,10,rating,Good I happy this app,0,0,0
99_230016_4,10,rating,Best Printing App Ever ,0,0,0
99_230017_4,10,rating,I Miss them ,0,0,0
99_230018_4,10,rating,Love this appp,0,0,0
99_230019_4,10,rating,good good,0,0,0
99_230022_4,10,rating,Great app Best editing app ever,0,0,0
99_230023_4,10,rating,Great game Nice graphics and runs smooth on HTC One,0,0,0
99_230024_4,10,rating,My very first paid app This is my very first paid app and it is worth it More power to Chainfire I'm looking forward to the production release This works as expected with my Canon T 4 i and ASUS Transformer TF101 It also worked with my old LG Optimus V smartphone via the Wi Fi Passthrough It has everything I need to control my camera while it is mounted on a crane jib Awesome really awesome ,0,0,0
99_230025_4,10,rating,Nice Nice program,0,0,0
99_230026_4,10,rating,Nice nice,0,0,0
