Id,MainText,Subjectivity,Polarity
99_3035_4,The pictures show a white background just like the iOS7 photo app ,2.0,2.0
99_3036_5,U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can ,2.0,2.0
99_3037_5,Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on ,2.0,2.0
99_3038_2,I ve been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone it crashes each time I open it ,2.0,2.0
99_3039_4,Holidays are here and I m a disorganized mess without EN ,2.0,2.0
99_3040_2,For some reason it doesn t quite feel user friendly to me just yet ,2.0,2.0
99_3041_4,And it s all available on iPad and iPhone ,2.0,2.0
99_3042_2,Latest version crashes on launch on my iPad in iOS 7 ,2.0,2.0
99_3043_2,I need my notes ,2.0,2.0
99_3044_4,Contacted Evernote support they are working on the fix ,2.0,2.0
99_3045_4,240 notes I can t see ,2.0,2.0
99_3046_2,It crashes all the time and the only way I can resolve is uninstall reinstall the app ,2.0,2.0
99_3047_2,The new version crashes on startup on my iPhone and iPad ,2.0,2.0
99_3048_2,Deleting app and reinstalling does not work either ,2.0,2.0
99_3049_2,The latest version crashes on launch for my iPhone 5s ,2.0,2.0
99_3050_2,This is the third update in 3 months that has crashed upon installation for me ,2.0,2.0
99_3051_2,Just crashes ,2.0,2.0
99_3052_4,Got the latest update and now it will not open on my phone ,2.0,2.0
99_3053_4,Please fix this ASAP ,2.0,2.0
99_3054_2,Now it crashes when loading ,2.0,2.0
99_3055_4,Please fix it ,2.0,2.0
99_3056_4,The latest interface is substandard from a useability standpoint besides being ugly and the latest version will not launch on my iPhone 5 ,2.0,2.0
99_3057_4,Do not update ,2.0,2.0
99_3058_2,Latest update crashes every time on startup on 5S ,2.0,2.0
99_3059_2,I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5 ,2.0,2.0
99_3060_4,Please fix it or at least let us know you are working on this ,2.0,2.0
99_3061_2,Latest update crashes ,2.0,2.0
99_3062_4,If you are having problems with the latest Evernote update here s the fix n nIf you installed the latest update Evernote is still crashing n nGo to Settings Privacy Contacts look for Evernote select OFF ,2.0,2.0
99_3063_2,Just crashes shortly upon launch ,2.0,2.0
99_3064_4,Evernote please fix ASAP ,2.0,2.0
99_3065_4,I will not use a note application I can t trust not to lose my information ,2.0,2.0
99_3066_2,Since IOS 7 2 it continues to crash upon opening ,2.0,2.0
99_3067_2,It let me down AT THE HOSPITAL where I needed Medication List Healthcare Power of Attorney and Living Will ,2.0,2.0
99_3068_2,Epic FAIL ,2.0,2.0
99_3069_2,Don t upgrade newest version has a connectivity problem with wifi and won t open ,2.0,2.0
99_3070_2,Even after clean install this app crashes over and over nGuys please test updates before releasing them ,2.0,2.0
99_3071_4,How could this app fail so completely ,2.0,2.0
99_3072_4,They made it so complicated n difficult to use it was a lot more easier few updates ago I have no idea how to add a note ,2.0,2.0
99_3073_2,It won t remain open for more than 10 seconds before it crashes ,2.0,2.0
99_3074_2, n nDeletion and reinstallation of the app has yet to resolve the issue ,2.0,2.0
99_3075_2,App keeps freezing and then it crashes ,2.0,2.0
99_3076_2,But upon latest upgrade crashes on open ,2.0,2.0
99_3077_4,Do not upgrade on iPad ,2.0,2.0
99_3078_2,Very disappointed I can t access my info as premium user ,2.0,2.0
99_3079_2,The newest update crashes repeatedly ,2.0,2.0
99_3080_4,Do not update ,2.0,2.0
99_3081_2,Now I can t access any of my notes ,2.0,2.0
99_3082_2,After the latest upgrades there were issues and now it crashes and I cannot access anything ,2.0,2.0
99_3083_4,I have tried to delete and reinstall but that didn t fix the problem ,2.0,2.0
99_3084_2,New version crashes every time on iPhone 5 ,2.0,2.0
99_3085_5,Please get a fix out soon ,2.0,2.0
99_3086_4,The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC ,2.0,2.0
99_3087_2, nThe biggest problem for the new version is people like me having 30 notebooks and 80 tags have big trouble switching between notes ,2.0,2.0
99_3088_2,You have to tap several times between each switch ,2.0,2.0
99_3089_2, n nThe second problem is the ugly interface probably for matching the ugly icons of iOS 7 ,2.0,2.0
99_3090_2,It crashes ,2.0,2.0
99_3091_2,mwingerski If this development team focus on making the App WORK rather than always adding new features I might give this five stars nNew features are totally worthless if I can t even open the app after it updates nDon t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber ,2.0,2.0
99_3092_2,'Unable to sync' this is a past problem ,2.0,2.0
99_3093_4, nThought I resolved problem when I uninstalled and reinstalled app on my iPhone ,2.0,2.0
99_3094_2,Recent update causes Evernote on iOS to fail ,2.0,2.0
99_3095_2,Whit screen of death can t even use ,2.0,2.0
99_3096_2,I don t have a problem paying for Premium but not when it includes something so basic and essential that it s a joke to have to pay for ,2.0,2.0
99_3097_4,Where is your QA ,2.0,2.0
99_3098_2,Update crashes all the time ,2.0,2.0
99_3099_2,Once again Evernote has launched an update that crashes on both my iPad and iPhone 5S ,2.0,2.0
99_3100_4,I even have the Premium version and bought several books on how to use the tool ,2.0,2.0
99_3101_4,I think the power just takes a while to understand for each user ,2.0,2.0
99_3102_4,Extending the brand into notebooks backpacks coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available ,2.0,2.0
99_3103_2,The last update crashes upon opening on iPad and iPhone ,2.0,2.0
99_3104_2,It tries to open for a few seconds then crashes to home screen ,2.0,2.0
99_3105_2,I tried uninstalling rebooting reinstall but the same result occurs ,2.0,2.0
99_3106_2,Please fix this ASAP ,2.0,2.0
99_3107_2,New version crashes on both iPad 2 and iPhone 4S ,2.0,2.0
99_3108_2,Please fix app ,2.0,2.0
99_3109_2,Updates crashes 5s nClean install same n nEvernote help no help nEvernote you ,2.0,2.0
99_3110_4,I like it and it s available in all platforms ,2.0,2.0
99_3111_2,I love Evernote and have become very reliant on it one of the apps I can t do without however I am without it now because it crashes on open and will not open on iPhone ,2.0,2.0
99_3112_2,Tried to delete and reinstall but it still crashes ,2.0,2.0
99_3113_2,Sclathos Evernote is not working after upgrade ,2.0,2.0
99_3114_2,It will open but then it crashes and sometimes re opens on its own ,2.0,2.0
99_3115_2,You can t open any notes when it does load ,2.0,2.0
99_3116_2,When I try to take a photo as a note the app crashes ,2.0,2.0
99_3117_2,7 2 completely crashes on startup on iphone 5 and ipad 3 ,2.0,2.0
99_3118_2,App crashes on update even after reboot and reinstall ,2.0,2.0
99_3119_2,Please address issue ,2.0,2.0
99_3120_2,One of my all time favorite apps however the latest update makes it unable as it freezes and crashes ,2.0,2.0
99_3121_2,It s a great program but since the last update last night it just crashes every time I open it ,2.0,2.0
99_3122_2, n nI uninstalled it reinstalled it still crashes ,2.0,2.0
99_3123_2,I uninstalled it did a clean boot installed again still crashes Evernote please fix this ASAP ,2.0,2.0
99_3124_4,You must get this app one of the best ,2.0,2.0
99_3125_4,Probably the best app available so easy to use and it makes a lot of fun nLove using it on my iPhone too ,2.0,2.0
99_3126_4,Also has practical uses show pictures to hair stylist pin recipes so you know what you need at the store etc ,2.0,2.0
99_3127_4,I love this app i think it is the best out there i recommend this to anyone who loves to kill time on their computer ,2.0,2.0
99_3128_2,Only complaint is you can t change then orientation which is especially bothersome for videos ,2.0,2.0
99_3129_5,This is a little inconvenient and could be improved ,2.0,2.0
99_3130_4,I do not feel the need to be notified when someone creates a new board ,2.0,2.0
99_3131_4,I haven t had any problems with this app ,2.0,2.0
99_3132_4,It is so much fun and gives you so many ideas of how to approach life ,2.0,2.0
99_3133_4,There are also great cleaning ideas and personal ideas like how to make your own facial scrub ,2.0,2.0
99_3134_2,My only problem with Pinterest is I lose track of time when I m on it ,2.0,2.0
99_3135_5,It would be nice if it would let you start typing the name of the board and it would pull it up ,2.0,2.0
99_3136_4,Thank you for adding more secret boards ,2.0,2.0
99_3137_4,I have lots of recipes on here and when I m trying to find that recipe I made a year ago so I can make dinner it s frustrating that I can t search for it and find it quickly ,2.0,2.0
99_3138_2,Some minor problems happens often but still love this app ,2.0,2.0
99_3139_4,You can use it for anything and it s so easy to use ,2.0,2.0
99_3140_2,If there is a way to do this it isn t intuitive ,2.0,2.0
99_3141_5, I m kinda technologically challenged I admit but ideally the app should be programmed and designed with people like me in mind ,2.0,2.0
99_3142_4,It s always up to date and never crashes ,2.0,2.0
99_3143_2,The only issue is that the search function for your own pins is not very accurate ,2.0,2.0
99_3144_2,Its good but it can use a bit of an improvement like sometimes the pictures just doesnt show and it takes a while for it to get back but that would be it ,2.0,2.0
99_3145_4,Works smoothly and easily every time I use the app can t say that about all apps ,2.0,2.0
99_3146_4,Love this app and it s not crashing for me anymore ,2.0,2.0
99_3147_5,I wish there was a way to put my boards in alphabetical order without moving them all individually ,2.0,2.0
99_3148_4,I love that you are now able to pin from your clipboard ,2.0,2.0
99_3149_4,I like everything about this app except the fact that I can t pin anything from my iPhone ,2.0,2.0
99_3150_4,My only complaint would be that if a pin is reported as a possible threat why isn t it removed ,2.0,2.0
99_3151_4,Haven t had any problems on iPhone 5 ,2.0,2.0
99_3152_4,When I wake up in the middle of the night I just grab my phone and start pinning ,2.0,2.0
99_3153_2,Please fix this problem and let us pin more than that ,2.0,2.0
99_3154_2,The app on my iPad regularly crashes ,2.0,2.0
99_3155_2,I can be bombarded with ads anywhere I don t need to sit and browse through them ,2.0,2.0
99_3156_4,I ve never had an issue with it crashing ,2.0,2.0
99_3157_4,My only problem with it is the fact I say just 2 more minutes and they turn into hours ,2.0,2.0
99_3158_2,However it has crashed a couple of times recently on the iPad ,2.0,2.0
99_3159_4,I might use it 50 times a day just for home made goodies alone ,2.0,2.0
99_3160_4, n Absolutely HATE the new way they list the categories with a picture please go back to the old list or let us choose which we d like to use ,2.0,2.0
99_3161_4,They updated the app and it is a lot better ,2.0,2.0
99_3162_4,Luckily I don t have the crashing issue or I would probably have to cry lol ,2.0,2.0
99_3163_4,I could not tell you how many fun ideas I have tried and loved because of Pinterest ,2.0,2.0
99_3164_4,I think it s much easier to pin things on the app than it is to pin them on the website ,2.0,2.0
99_3165_4,I love looking at wedding stuff to help me plan my upcoming wedding ,2.0,2.0
99_3166_5,I like pinterest a lot but it really needs to be managed better ,2.0,2.0
99_3167_4,Adding 12 24 13 do not like updated fragmented boards ,2.0,2.0
99_3168_4,Use it just about everyday ,2.0,2.0
99_3169_2,Frequent app crashes on my iPad please fix this bug ,2.0,2.0
99_3170_4,Pinterest is my go to when I need an idea for anything hair styles crafting cooking whatever ,2.0,2.0
99_3171_2, n n update for new version n nI preferred the last layout and it STILL crashes when the orientation changes and at random too ,2.0,2.0
99_3172_2,Why put the effort into a new layout and not fix major bugs ,2.0,2.0
99_3173_5,I feel that they need to remove them ,2.0,2.0
99_3174_4,Will think of other improvements that may be needed when I think of them ,2.0,2.0
99_3175_2,Please fix the bugs ,2.0,2.0
99_3176_2,Does the job you need it for but occasional crashes I use it daily and it probably crashes once a week can be a nuisance but just briefly ,2.0,2.0
99_3177_2,Will lock up and crash often ,2.0,2.0
99_3178_2,Sha chey Renee This new update crashes when I click on images and I can t see my followers and who s following me please change this ,2.0,2.0
99_3179_2,I would have given it 5 stars except it crashes for no reason whatever you were looking at is lost ,2.0,2.0
99_3180_4,Why was this feature removed ,2.0,2.0
99_3181_2,Please fix this soon ,2.0,2.0
99_3182_2,I want to change the covers on my boards but you can t do that in this update please fix it or if you got rid of it please bring it back ,2.0,2.0
99_3183_2,However in the last update something happened and now the app crashes constantly and when I can get in all my pictures are gone ,2.0,2.0
99_3184_2,The only thing is it crashes a lot ,2.0,2.0
99_3185_4,HomelessDragon Says I need to grant access to log in via Facebook ,2.0,2.0
99_3186_2,I find it very annoying that Pinterest keeps crashing literally every few minutes didn t have this problem before ,2.0,2.0
99_3187_2,It will work fine sometimes but since the new update if I leave and come back to the app the images won t show up ,2.0,2.0
99_3188_5,Please change it back to how it was before ,2.0,2.0
99_3189_2,I ve seen many people have this issue and currently mine takes up 1 5 gb of my memory because it saves every single photo u pin or look at in the cache ,2.0,2.0
99_3190_4,Never had an issue with it ,2.0,2.0
99_3191_5,Very annoyed that I can t delete pins from notifications tab ,2.0,2.0
99_3192_4,Whether I need some inspiration in planning a birthday party motivation to work out or outfit ideas Pinterest is my first stop ,2.0,2.0
99_3193_4,It is the one if the best apps ever created and is very useful and fun to look at ,2.0,2.0
99_3194_4,It s cool how you can save the things you like as well ,2.0,2.0
99_3195_4, n n However I don t know if there is a way to contact Pinterest in order to suggest ideas for the app s improvement ,2.0,2.0
99_3196_5, n I would like to suggest the idea that Pinterest create folders for our boards ,2.0,2.0
99_3197_5,I think we should get more ,2.0,2.0
99_3198_2,Now I have to scroll through all of them instead of just touching a letter to find the board ,2.0,2.0
99_3199_4,I just love this app ,2.0,2.0
99_3200_4,It is great to be able to see the details I need without wasting paper or taking up a lot of space on my small table ,2.0,2.0
99_3201_4,My iPad no longer crashes so I m a happy camper about that ,2.0,2.0
99_3202_2,Please undo this terrible update ,2.0,2.0
99_3203_2,While aesthetically better looking it does not work well ,2.0,2.0
99_3204_2,The new updates are causing problems first it was crashing my iPad almost every day ,2.0,2.0
99_3205_2,Now it won t load correctly pictures missing and my boards are missing cover pics which I can t even edit because there s no option to change the picture anymore ,2.0,2.0
99_3206_4,Smash lover Pinterest is like a social media drug once you have a little you need a lot ,2.0,2.0
99_3207_2,Bdmama13 I love the app but I can t pin from etsy or other websites with the Pinterest button on the iPad mini ,2.0,2.0
99_3208_2,Wouldn t let me update the app ,2.0,2.0
99_3209_2,Since update can t login with my Fb acct ,2.0,2.0
99_3210_4,The app was great please fix ,2.0,2.0
99_3211_4,I want to know if anybody is having the problem about an update on Pinterest ,2.0,2.0
99_3212_4,I need my App back ,2.0,2.0
99_3213_2,When I try to update it says that the app is no longer available ,2.0,2.0
99_3214_2,I cant get the app it says its no longer available ,2.0,2.0
99_3215_2,Trying to update and keeps saying the item I m trying to purchase is not available ,2.0,2.0
99_3216_2,Um I m not trying to purchase I m trying to update please fix ASAP now it s saying can t connect to iTunes I m getting frustrated ,2.0,2.0
99_3217_2,I uninstalled it because when I tried to update it said What you ve tried to buy is no longer available ,2.0,2.0
99_3218_2,Now I can t reinstall ,2.0,2.0
99_3219_2,I was trying to update my phone but it s telling me that Pinterest is no longer available ,2.0,2.0
99_3220_2,When the update came I tried to update it but it said that It wouldn t let me ,2.0,2.0
99_3221_4,I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category ,2.0,2.0
99_3222_4,I was excited to see that they added the swiping feature in the latest update ,2.0,2.0
99_3223_2,Tried to update this app the update is for bug fixes and it tells me the item I m trying to buy is no longer available ,2.0,2.0
99_3224_2,Now it says not available to purchase ,2.0,2.0
99_3225_2,For some reason it s not letting me update 'this update is no longer available' and then it deleted my app,2.0,2.0
99_3226_2,So I tried uninstalling and reinstalling it but now it won t let me download the app ,2.0,2.0
99_3227_2,It says 'The item you tried to buy is no longer available ',2.0,2.0
99_3228_4,grlnxtdr2 u 978 My Pinterest app is saying it needs an update but I am getting this message when I choose update ,2.0,2.0
99_3229_4,Can I not download the app ,2.0,2.0
99_3230_4,It says it s no longer available ,2.0,2.0
99_3231_4,What happened ,2.0,2.0
99_3232_2,magirlokmynameisnicky It won t let me create an account at all I think it is a bug or something ,2.0,2.0
99_3233_4,What is the problem since the update ,2.0,2.0
99_3234_2,Of course I adore Pinterest but the app always has bugs and the last update has made Pinterest completely unusable ,2.0,2.0
99_3235_4,I need my Pinterest ,2.0,2.0
99_3236_2,I can t even open the app after it s latest update ,2.0,2.0
99_3237_2,The only thing wrong is when I go to repin something I go to write a description and click on the box but it crashes ,2.0,2.0
99_3238_2,I cannot access my notifications anymore and when I try to change captions I can t Why can t I post comments anymore ,2.0,2.0
99_3239_2,I love love Pintrest but hate that it sometimes crashes since iOS 7 has come out never had that problem before but for that issue a great app ,2.0,2.0
99_3240_4,You just put your finger on the pin picture and instantly you have options that POP up ,2.0,2.0
99_3241_4,Do not like the new update ,2.0,2.0
99_3242_4,Works great and I ve nvr had a problem with it or gotten a bad idea off Pinterest ,2.0,2.0
99_3243_2,The only issue I have is that it s sensitive ,2.0,2.0
99_3244_2,Other than after I updated it it crashes every other time I use it ,2.0,2.0
99_3245_2,The only problem is when I get on I don t want to stop ,2.0,2.0
99_3246_2,I can look at pins but I can t do much else for the last two days ,2.0,2.0
99_3247_2,The app shuts down won t load some pins and I can t edit pins ,2.0,2.0
99_3248_2,It was perfect before I updated it 2 minutes ago ,2.0,2.0
99_3249_4,Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen ,2.0,2.0
99_3250_2,It s like 3 4 of them are missing ,2.0,2.0
99_3251_2,With the updates you forgot to put back to edit board cover for iPad users ,2.0,2.0
99_3252_4,Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era ,2.0,2.0
99_3253_2,Can t view pins all notifications have disappeared crashes constantly ,2.0,2.0
99_3254_5, nWish i could have more than 3 secret boards please add the feature ,2.0,2.0
99_3255_4,Online hoarding what could be better ,2.0,2.0
99_3256_2,Please fix this bug problem Thank you ,2.0,2.0
99_3257_2,Way to fail Pinterest ,2.0,2.0
99_3258_4,This App as created an addition for Pinterest that I didn t have before ,2.0,2.0
99_3259_4,the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone but besides that I just love it ,2.0,2.0
99_3260_4,I can t live without it ,2.0,2.0
99_3261_5,I liked having the letters on the side so I didn t have to roll through my entire list of boards to pin something ,2.0,2.0
99_3262_5,Please find a way to sort the DIY and Etsy stuff apart from each other it s frustrating to click on a project only to find you ve been diverted to an Etsy store ,2.0,2.0
99_3263_4,When you need any sort of idea all you have to do is check Pinterest ,2.0,2.0
99_3264_4,I absolutely recommend Pinterest although it is addicting ,2.0,2.0
99_3265_4,If you use Pinterest you need this app ,2.0,2.0
99_3266_2,Sometime I can t click to go to websites but overall good app ,2.0,2.0
99_3267_5,I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page ,2.0,2.0
99_3268_4,Now however I just like it they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye ,2.0,2.0
99_3269_4,I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest ,2.0,2.0
99_3270_4,Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines ,2.0,2.0
99_3271_2,However it constantly crashes and freezes ,2.0,2.0
99_3272_2,Love using the app but very very annoying they need to fix all the glitches ,2.0,2.0
99_3273_4,I love that if I need an idea for a craft or have a stain on my carpet I can find ideas or solution for just about everything ,2.0,2.0
99_3274_4,I learn how to do so many things from Pinterest ,2.0,2.0
99_3275_4,Learned how to cut my own hair ,2.0,2.0
99_3276_4,I don t know why some people put one star but they made a mistake ,2.0,2.0
99_3277_4,How could you not love it ,2.0,2.0
99_3278_2,Up until like a week ago I ve never had a problem with it before so I don t understand what s going on now ,2.0,2.0
99_3279_2,They need to get this fixed and fast ,2.0,2.0
99_3280_2, nMy only qualm is not being able to easily save pictures ,2.0,2.0
99_3281_4,That s a minor issue though ,2.0,2.0
99_3282_4,I love Pinterest the apps are more user friendly than the website BUT there needs to be a way to mark where you stopped browsing on your home feed ,2.0,2.0
99_3283_4,App never crashes anymore ,2.0,2.0
99_3284_4,It s helping me to plan a bunch of different things I want to accomplish in the future and I am so excited for that ,2.0,2.0
99_3285_4,There are quite a few pins that you click on and it will only pull up a picture or take you to a completely different page but other than that when you find those pages that take you right where you need to be there s a world of wonders out there ,2.0,2.0
99_3286_4,Like any other App it might have its moments but all in all it s fantastic ,2.0,2.0
99_3287_4,So glad they made this into an app ,2.0,2.0
99_3288_4,Why did you change Pinterest with the last update ,2.0,2.0
99_3289_4,Why do you change things that were not broken ,2.0,2.0
99_3290_4,I have made many recipes and DIY projects ,2.0,2.0
99_3291_4,It has given me ideas in on how to renovate my kitchen teach algebra to my kids build a mud room etc ,2.0,2.0
99_3292_4,Great site need to improve stability ,2.0,2.0
99_3293_4,There is anything and everything that you could ever want or think of on this one site ,2.0,2.0
99_3294_4,I love that you can pin without having to click through a million different things ,2.0,2.0
99_3295_4,No crashes ,2.0,2.0
99_3296_4,Now that the app is better I need an app for more time in the day ,2.0,2.0
99_3297_2,I almost never have any issues with it except sometimes the notifications won t refresh or sometimes the notifications take days to show up ,2.0,2.0
99_3298_4,I think it s cool you can swipe through apps but I did like the feature when you could swipe back to the previous page which you can t do anymore ,2.0,2.0
99_3299_4,Great ideas like minded people but the organization for my brain is the best ,2.0,2.0
99_3300_4,There have been times when the pins take a long time to load but overall it s a great app and I recommend it to anyone ,2.0,2.0
99_3301_2,Ever since the iOS 7 update the app crashes whenever I try to look at my notifications ,2.0,2.0
99_3302_4,Best app site ever lots of information and you can find everything you need ,2.0,2.0
99_3303_4,I ve never had any problems always works well ,2.0,2.0
99_3304_4,Love it and the new easier way to pin by just holding down the item ,2.0,2.0
99_3305_4,And what happened to being able to pin a photo to my fb wall ,2.0,2.0
99_3306_2,I love the app but it crashes only 5 minuets into searching and looking on it ,2.0,2.0
99_3307_4,It s easy works well and is a million times more organized than I know how to be ,2.0,2.0
99_3308_4,I m on it all the time and love how you can organize your boards ,2.0,2.0
99_3309_4,I never have problems with crashing ,2.0,2.0
99_3310_2,Love Pinterest but the app crashes from time to time ,2.0,2.0
99_3311_4,It s easy to use and you can find anything you need with just a little searching and effort ,2.0,2.0
99_3312_2,Love Pinterest but will just crash when I try too look at pin notices ,2.0,2.0
99_3313_2,The only problem is I spend too much time on it ,2.0,2.0
99_3314_2,Only problems I have are there s no multiple upload option ,2.0,2.0
99_3315_5,Would be nice to easily move pins if pinned mistakingly to wrong bored ,2.0,2.0
99_3316_4,Old way was fine ,2.0,2.0
99_3317_4,Still could use a few minor tweaks but overall very good ,2.0,2.0
99_3318_4,Please restore it back the way it was ,2.0,2.0
99_3319_2,Brynnmlj Every time I open my feed it crashes same with my profile ,2.0,2.0
99_3320_2,They need to make some fixes ,2.0,2.0
99_3321_4,Why can you drag and drop whole boards but not the pins within a board ,2.0,2.0
99_3322_4,Recently many updates including the ability to swipe to pin as well as sending pins to another user have added such great quality to the app ,2.0,2.0
99_3323_4, p n nI highly recommend this app ,2.0,2.0
99_3324_2,Notifications are broken and can t access sent pins ,2.0,2.0
99_3325_4,I may be slightly addicted to it ,2.0,2.0
99_3326_2,I don t like how you have to comment on them now how i have to scroll through all my boards to get to one and I really hate how you cant have more than one board open at a time with the x s in the corner ,2.0,2.0
99_3327_2,The bottom just doesn t work for me ,2.0,2.0
99_3328_2,This is my favorite app in the world but all of a sudden it starting to crash again and it is really annoying PLEASE FIX THIS ,2.0,2.0
99_3329_4,Great way to pass the time when u need good ideas ,2.0,2.0
99_3330_4,Once you start you can t stop ,2.0,2.0
99_3331_4,I love looking at the crisp beautiful images great ideas that are easy to categorize ,2.0,2.0
99_3332_2,The only thing I hate is the bug that shut it s down usually when I inadvertently have too many windows open ,2.0,2.0
99_3333_4,I m addicted everyone should have a Pinterest ,2.0,2.0
99_3334_4,So far so good haven t had any problems with it ,2.0,2.0
99_3335_2,Sure would be nice if the app didn t crash so often while I m pinning or just freezes ,2.0,2.0
99_3336_4,More updates need to be included with this app in order to keep it moving ,2.0,2.0
99_3337_4,Which one gets you to the list of categories the home magnifying glass plus sign or person ,2.0,2.0
99_3338_4,If you like a pin you should not be listed as following them ,2.0,2.0
99_3339_4,Fantastic ideas and the recipes are awesome ,2.0,2.0
99_3340_2,Now it will not load new pins from people I follow and if I click to view people I follow then it crashes and closes the app ,2.0,2.0
99_3341_2,Love this app but it crashes too much ,2.0,2.0
99_3342_4,A pretty good representation of the website but took a while to figure out how to save a photo to the camera roll ,2.0,2.0
99_3343_2,The app still crashes a lot and will often lose the page I was on if I switch to another app for a moment which is really annoying ,2.0,2.0
99_3344_2,Not a fan of the new layout and the app still crashes even on the most recent iOS platform ,2.0,2.0
99_3345_4,Whenever I need an idea for anything I can find a ton here ,2.0,2.0
99_3346_5,I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning ,2.0,2.0
99_3347_5,Having the pins on the left needs to be moved back to the middle ,2.0,2.0
99_3348_4,I do wish with all the new updates they made a slide show option because sometimes I just want to flip through my pins instead of having to click on each one one at a time ,2.0,2.0
99_3349_4,I RECOMMEND it to every wedding planner fashionista technology mogul DIY fanatic food craver comedic lover and many more ,2.0,2.0
99_3350_4,Highly recommend it ,2.0,2.0
99_3351_2,Don t try to fix something that doesn t need fixing ,2.0,2.0
99_3352_2,Reverse please ,2.0,2.0
99_3353_4,I don t even need any other apps ,2.0,2.0
99_3354_4,How did I ever live without Pinterest ,2.0,2.0
99_3355_5,Only thing I wish it would do would allow me to print from my iPad easily ,2.0,2.0
99_3356_2,The only complaint I have is that it crashes at random times ,2.0,2.0
99_3357_2,Though It crashes after a couples minutes on my ipod ,2.0,2.0
99_3358_5,I just miss the you could save the photos in your iPhone but other than that I m in love with this app ,2.0,2.0
99_3359_4,Gives me lots of ideas from tatoos to home decor to building or just make my life easier more fun ,2.0,2.0
99_3360_4,I use it all the time and I love how it rarely crashes ,2.0,2.0
99_3361_2,Very well put together but after using for a little bit on my iPhone the app crashes ,2.0,2.0
99_3362_2,When using it on my iPad it crashes and my iPad just shuts off then restarts it s self ,2.0,2.0
99_3363_4,You don t have to search and search the stuff that interests on the web its all here you can also add information you others to see ,2.0,2.0
