Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3162_4,information giving,Luckily I don t have the crashing issue or I would probably have to cry lol ,information giving Luckily I don t have the crashing issue or I would probably have to cry lol,['issue'],[12],[0.48386407]
99_3163_4,information giving,I could not tell you how many fun ideas I have tried and loved because of Pinterest ,information giving I could not tell you how many fun ideas I have tried and loved because of Pinterest,"['fun', 'idea', 'Pinterest']",[68],[0.6666666666666666]
99_3164_4,information giving,I think it s much easier to pin things on the app than it is to pin them on the website ,information giving I think it s much easier to pin things on the app than it is to pin them on the website,"['easy', 'thing', 'app', 'website']",[48],[0.37352377]
99_3165_4,information giving,I love looking at wedding stuff to help me plan my upcoming wedding ,information giving I love looking at wedding stuff to help me plan my upcoming wedding,"['wedding', 'stuff', 'upcoming', 'wedding']",[63],[0.3947004]
99_3167_4,information giving,Adding 12 24 13 do not like updated fragmented boards ,information giving Adding 12 24 13 do not like updated fragmented boards,"['12', 'fragmented', 'board']","[31, 47, 68]","[0.3278358, 0.32606348, 0.3333333333333333]"
99_3168_4,information giving,Use it just about everyday ,information giving Use it just about everyday,['everyday'],[22],[0.4830268]
99_3170_4,information giving,Pinterest is my go to when I need an idea for anything hair styles crafting cooking whatever ,information giving Pinterest is my go to when I need an idea for anything hair styles crafting cooking whatever,"['Pinterest', 'idea', 'hair', 'style', 'cooking']",[68],[0.4]
99_3174_4,information giving,Will think of other improvements that may be needed when I think of them ,information giving Will think of other improvements that may be needed when I think of them,['improvement'],[9],[0.4821877]
99_3180_4,information seeking,Why was this feature removed ,information seeking Why was this feature removed,['feature'],[9],[0.48218912]
99_3185_4,information giving,HomelessDragon Says I need to grant access to log in via Facebook ,information giving HomelessDragon Says I need to grant access to log in via Facebook,"['HomelessDragon', 'access', 'Facebook']","[3, 14]","[0.3267614, 0.32620665]"
99_3190_4,information giving,Never had an issue with it ,information giving Never had an issue with it,['issue'],[12],[0.48386407]
99_3192_4,information giving,Whether I need some inspiration in planning a birthday party motivation to work out or outfit ideas Pinterest is my first stop ,information giving Whether I need some inspiration in planning a birthday party motivation to work out or outfit ideas Pinterest is my first stop,"['inspiration', 'birthday', 'party', 'motivation', 'idea', 'Pinterest', 'stop']",[7],[0.49503508]
99_3193_4,information giving,It is the one if the best apps ever created and is very useful and fun to look at ,information giving It is the one if the best apps ever created and is very useful and fun to look at,"['good', 'app', 'useful', 'fun']",[53],[0.308525]
99_3194_4,information giving,It s cool how you can save the things you like as well ,information giving It s cool how you can save the things you like as well,"['cool', 'thing']","[35, 32]","[0.32736504, 0.32690862]"
99_3195_4,information seeking, n n However I don t know if there is a way to contact Pinterest in order to suggest ideas for the app s improvement ,information seeking  n n However I don t know if there is a way to contact Pinterest in order to suggest ideas for the app s improvement,"['way', 'Pinterest', 'order', 'idea', 'improvement']","[19, 68]","[0.30248943, 0.4]"
99_3199_4,information giving,I just love this app ,information giving I just love this app,['app'],[16],[0.5057063]
99_3200_4,information giving,It is great to be able to see the details I need without wasting paper or taking up a lot of space on my small table ,information giving It is great to be able to see the details I need without wasting paper or taking up a lot of space on my small table,"['great', 'able', 'detail', 'paper', 'space', 'small', 'table']",[25],[0.74188745]
99_3201_4,information giving,My iPad no longer crashes so I m a happy camper about that ,information giving My iPad no longer crashes so I m a happy camper about that,"['iPad', 'happy', 'camper']","[43, 65, 66]","[0.32780465, 0.32645154, 0.3333333333333333]"
99_3206_4,information giving,Smash lover Pinterest is like a social media drug once you have a little you need a lot ,information giving Smash lover Pinterest is like a social media drug once you have a little you need a lot,"['lover', 'Pinterest', 'social', 'medium', 'drug', 'little']",[28],[0.7061021]
99_3210_4,information giving,The app was great please fix ,information giving The app was great please fix,"['app', 'great']",[16],[0.664992]
99_3211_4,information seeking,I want to know if anybody is having the problem about an update on Pinterest ,information seeking I want to know if anybody is having the problem about an update on Pinterest,"['problem', 'update', 'Pinterest']",[68],[0.3333333333333333]
99_3212_4,information giving,I need my App back ,information giving I need my App back,['App'],[59],[0.48457146]
99_3221_4,information giving,I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category ,information giving I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category,"['Pinterest', 'way', 'pin', 'board', 'category']","[59, 68]","[0.32027683, 0.6]"
99_3222_4,information giving,I was excited to see that they added the swiping feature in the latest update ,information giving I was excited to see that they added the swiping feature in the latest update,"['feature', 'late', 'update']",[],[]
99_3228_4,information giving,grlnxtdr2 u 978 My Pinterest app is saying it needs an update but I am getting this message when I choose update ,information giving grlnxtdr2 u 978 My Pinterest app is saying it needs an update but I am getting this message when I choose update,"['grlnxtdr2', '978', 'Pinterest', 'app', 'update', 'message', 'update']",[14],[0.47719985]
99_3229_4,information seeking,Can I not download the app ,information seeking Can I not download the app,['app'],[16],[0.5057004]
99_3230_4,information giving,It says it s no longer available ,information giving It says it s no longer available,['available'],[49],[0.4831293]
99_3231_4,information seeking,What happened ,information seeking What happened,[],[],[]
99_3233_4,information seeking,What is the problem since the update ,information seeking What is the problem since the update,"['problem', 'update']","[20, 42]","[0.32783353, 0.32732442]"
99_3235_4,information giving,I need my Pinterest ,information giving I need my Pinterest,['Pinterest'],"[37, 68]","[0.4845899, 1.0]"
99_3240_4,information giving,You just put your finger on the pin picture and instantly you have options that POP up ,information giving You just put your finger on the pin picture and instantly you have options that POP up,"['finger', 'pin', 'picture', 'option']",[52],[0.5903194]
99_3241_4,information giving,Do not like the new update ,information giving Do not like the new update,"['new', 'update']","[20, 39]","[0.32783344, 0.3270848]"
99_3242_4,information giving,Works great and I ve nvr had a problem with it or gotten a bad idea off Pinterest ,information giving Works great and I ve nvr had a problem with it or gotten a bad idea off Pinterest,"['great', 'problem', 'bad', 'idea', 'Pinterest']",[68],[0.4]
99_3249_4,information giving,Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen ,information giving Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen,"['love', 'portable', 'computer', 'kitchen']",[2],[0.39474657]
99_3252_4,information giving,Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era ,information giving Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era,"['Pinterest', 'good', 'tool', 'fashion', 'designer', 'inspiration', 'different', 'culture', 'historical', 'era']",[38],[0.72195816]
99_3255_4,information giving,Online hoarding what could be better ,information giving Online hoarding what could be better,"['Online', 'well']",[2],[0.48241884]
99_3258_4,information giving,This App as created an addition for Pinterest that I didn t have before ,information giving This App as created an addition for Pinterest that I didn t have before,"['App', 'addition', 'Pinterest']",[68],[0.3333333333333333]
99_3259_4,information giving,the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone but besides that I just love it ,information giving the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone but besides that I just love it,"['app', 'amazing', 'iphone', 'computer', 'annoying', 'fast', 'computer', 'iphone']",[12],[0.7510725]
99_3260_4,information giving,I can t live without it ,information giving I can t live without it,[],[],[]
99_3263_4,information giving,When you need any sort of idea all you have to do is check Pinterest ,information giving When you need any sort of idea all you have to do is check Pinterest,"['sort', 'idea', 'Pinterest']",[68],[0.6666666666666666]
99_3264_4,information giving,I absolutely recommend Pinterest although it is addicting ,information giving I absolutely recommend Pinterest although it is addicting,['Pinterest'],"[37, 68]","[0.4845899, 1.0]"
99_3265_4,information giving,If you use Pinterest you need this app ,information giving If you use Pinterest you need this app,"['Pinterest', 'app']","[37, 68]","[0.6506736, 0.5]"
99_3268_4,information giving,Now however I just like it they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye ,information giving Now however I just like it they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye,"['entire', 'way', 'look', 'type', 'small', 'colorful', 'eye']",[36],[0.8654922]
99_3269_4,information giving,I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest ,information giving I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest,"['able', 'wonderful', 'thing', 'world', 'Pinterest']",[32],[0.32406047]
99_3270_4,information giving,Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines ,information giving Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines,"['Love', 'Pinterest', 'kind', 'thing', 'info', 'appropriate', 'search', 'engine']",[44],[0.33097842]
99_3273_4,information giving,I love that if I need an idea for a craft or have a stain on my carpet I can find ideas or solution for just about everything ,information giving I love that if I need an idea for a craft or have a stain on my carpet I can find ideas or solution for just about everything,"['idea', 'craft', 'stain', 'carpet', 'idea', 'solution']","[19, 17, 68]","[0.4256005, 0.42434186, 0.3333333333333333]"
99_3274_4,information giving,I learn how to do so many things from Pinterest ,information giving I learn how to do so many things from Pinterest,"['thing', 'Pinterest']","[37, 32, 68]","[0.33652842, 0.3190926, 0.5]"
99_3275_4,information giving,Learned how to cut my own hair ,information giving Learned how to cut my own hair,['hair'],[32],[0.48274815]
99_3276_4,information giving,I don t know why some people put one star but they made a mistake ,information giving I don t know why some people put one star but they made a mistake,"['people', 'star', 'mistake']",[],[]
99_3277_4,information seeking,How could you not love it ,information seeking How could you not love it,[],[],[]
99_3281_4,information giving,That s a minor issue though ,information giving That s a minor issue though,"['minor', 'issue']","[12, 57]","[0.3279429, 0.3261212]"
99_3282_4,information giving,I love Pinterest the apps are more user friendly than the website BUT there needs to be a way to mark where you stopped browsing on your home feed ,information giving I love Pinterest the apps are more user friendly than the website BUT there needs to be a way to mark where you stopped browsing on your home feed,"['Pinterest', 'app', 'user', 'friendly', 'website', 'way', 'home', 'feed']",[62],[0.6209019]
99_3283_4,information giving,App never crashes anymore ,information giving App never crashes anymore,['App'],[59],[0.48457146]
99_3284_4,information giving,It s helping me to plan a bunch of different things I want to accomplish in the future and I am so excited for that ,information giving It s helping me to plan a bunch of different things I want to accomplish in the future and I am so excited for that,"['bunch', 'different', 'thing', 'future', 'excited']",[],[]
99_3285_4,information giving,There are quite a few pins that you click on and it will only pull up a picture or take you to a completely different page but other than that when you find those pages that take you right where you need to be there s a world of wonders out there ,information giving There are quite a few pins that you click on and it will only pull up a picture or take you to a completely different page but other than that when you find those pages that take you right where you need to be there s a world of wonders out there,"['pin', 'picture', 'different', 'page', 'page', 'right', 'world', 'wonder']",[61],[0.77042913]
99_3286_4,information giving,Like any other App it might have its moments but all in all it s fantastic ,information giving Like any other App it might have its moments but all in all it s fantastic,"['App', 'moment', 'fantastic']",[],[]
99_3287_4,information giving,So glad they made this into an app ,information giving So glad they made this into an app,"['glad', 'app']",[63],[0.6490262]
99_3288_4,information seeking,Why did you change Pinterest with the last update ,information seeking Why did you change Pinterest with the last update,"['Pinterest', 'update']","[37, 20, 68]","[0.32843247, 0.32783347, 0.5]"
99_3289_4,information seeking,Why do you change things that were not broken ,information seeking Why do you change things that were not broken,['thing'],[32],[0.48275456]
99_3290_4,information giving,I have made many recipes and DIY projects ,information giving I have made many recipes and DIY projects,"['recipe', 'diy', 'project']",[17],[0.73463833]
99_3291_4,information giving,It has given me ideas in on how to renovate my kitchen teach algebra to my kids build a mud room etc ,information giving It has given me ideas in on how to renovate my kitchen teach algebra to my kids build a mud room etc,"['idea', 'kitchen', 'algebra', 'kid', 'mud', 'room', 'etc']",[7],[0.74185175]
99_3292_4,information giving,Great site need to improve stability ,information giving Great site need to improve stability,"['great', 'site', 'stability']",[],[]
99_3293_4,information giving,There is anything and everything that you could ever want or think of on this one site ,information giving There is anything and everything that you could ever want or think of on this one site,['site'],[23],[0.48211038]
99_3294_4,information giving,I love that you can pin without having to click through a million different things ,information giving I love that you can pin without having to click through a million different things,"['million', 'different', 'thing']",[],[]
99_3295_4,information giving,No crashes ,information giving No crashes,['crash'],[39],[0.48259723]
99_3296_4,information giving,Now that the app is better I need an app for more time in the day ,information giving Now that the app is better I need an app for more time in the day,"['app', 'well', 'app', 'time', 'day']",[48],[0.6169815]
99_3298_4,information giving,I think it s cool you can swipe through apps but I did like the feature when you could swipe back to the previous page which you can t do anymore ,information giving I think it s cool you can swipe through apps but I did like the feature when you could swipe back to the previous page which you can t do anymore,"['cool', 'app', 'feature', 'previous', 'page']",[],[]
99_3299_4,information giving,Great ideas like minded people but the organization for my brain is the best ,information giving Great ideas like minded people but the organization for my brain is the best,"['great', 'idea', 'minded', 'people', 'organization', 'brain', 'good']",[47],[0.37191248]
99_3300_4,information giving,There have been times when the pins take a long time to load but overall it s a great app and I recommend it to anyone ,information giving There have been times when the pins take a long time to load but overall it s a great app and I recommend it to anyone,"['time', 'pin', 'long', 'time', 'great', 'app']",[33],[0.44894588]
99_3302_4,information giving,Best app site ever lots of information and you can find everything you need ,information giving Best app site ever lots of information and you can find everything you need,"['good', 'app', 'site', 'lot']",[18],[0.32718152]
99_3303_4,information giving,I ve never had any problems always works well ,information giving I ve never had any problems always works well,['problem'],[42],[0.48295513]
99_3304_4,information giving,Love it and the new easier way to pin by just holding down the item ,information giving Love it and the new easier way to pin by just holding down the item,"['Love', 'new', 'easy', 'way', 'item']",[26],[0.3318574]
99_3305_4,information seeking,And what happened to being able to pin a photo to my fb wall ,information seeking And what happened to being able to pin a photo to my fb wall,"['able', 'photo', 'wall']","[43, 28]","[0.3278024, 0.32729578]"
99_3307_4,information giving,It s easy works well and is a million times more organized than I know how to be ,information giving It s easy works well and is a million times more organized than I know how to be,"['easy', 'work', 'million', 'time', 'organized']",[19],[0.34214386]
99_3308_4,information giving,I m on it all the time and love how you can organize your boards ,information giving I m on it all the time and love how you can organize your boards,"['time', 'board']","[31, 33, 68]","[0.327828, 0.32695132, 0.5]"
99_3309_4,information giving,I never have problems with crashing ,information giving I never have problems with crashing,['problem'],[42],[0.48295513]
99_3311_4,information giving,It s easy to use and you can find anything you need with just a little searching and effort ,information giving It s easy to use and you can find anything you need with just a little searching and effort,"['easy', 'little', 'searching', 'effort']",[25],[0.5901519]
99_3316_4,information giving,Old way was fine ,information giving Old way was fine,"['old', 'way', 'fine']",[39],[0.49108222]
99_3317_4,information giving,Still could use a few minor tweaks but overall very good ,information giving Still could use a few minor tweaks but overall very good,"['minor', 'tweak', 'good']",[],[]
99_3318_4,information giving,Please restore it back the way it was ,information giving Please restore it back the way it was,['way'],[59],[0.4845704]
99_3321_4,information seeking,Why can you drag and drop whole boards but not the pins within a board ,information seeking Why can you drag and drop whole boards but not the pins within a board,"['board', 'pin', 'board']","[31, 68]","[0.4916445, 1.0]"
99_3322_4,information giving,Recently many updates including the ability to swipe to pin as well as sending pins to another user have added such great quality to the app ,information giving Recently many updates including the ability to swipe to pin as well as sending pins to another user have added such great quality to the app,"['update', 'ability', 'pin', 'user', 'great', 'quality', 'app']",[],[]
99_3323_4,information giving, p n nI highly recommend this app ,information giving  p n nI highly recommend this app,"['ni', 'app']",[16],[0.5057041]
99_3325_4,information giving,I may be slightly addicted to it ,information giving I may be slightly addicted to it,[],[],[]
99_3329_4,information giving,Great way to pass the time when u need good ideas ,information giving Great way to pass the time when u need good ideas,"['great', 'way', 'time', 'good', 'idea']",[19],[0.30158478]
99_3330_4,information giving,Once you start you can t stop ,information giving Once you start you can t stop,[],[],[]
99_3331_4,information giving,I love looking at the crisp beautiful images great ideas that are easy to categorize ,information giving I love looking at the crisp beautiful images great ideas that are easy to categorize,"['crisp', 'beautiful', 'image', 'great', 'idea', 'easy']",[],[]
99_3333_4,information giving,I m addicted everyone should have a Pinterest ,information giving I m addicted everyone should have a Pinterest,['Pinterest'],"[37, 68]","[0.4845899, 1.0]"
99_3334_4,information giving,So far so good haven t had any problems with it ,information giving So far so good haven t had any problems with it,"['good', 'problem']","[18, 42]","[0.34576017, 0.32732436]"
99_3336_4,information giving,More updates need to be included with this app in order to keep it moving ,information giving More updates need to be included with this app in order to keep it moving,"['update', 'app', 'order']",[20],[0.49137223]
99_3337_4,information seeking,Which one gets you to the list of categories the home magnifying glass plus sign or person ,information seeking Which one gets you to the list of categories the home magnifying glass plus sign or person,"['list', 'category', 'home', 'magnifying', 'glass', 'sign', 'person']",[3],[0.86557657]
99_3338_4,information giving,If you like a pin you should not be listed as following them ,information giving If you like a pin you should not be listed as following them,['pin'],"[59, 68]","[0.4845718, 1.0]"
