Id,Name,PriorityScore,Remarks
309,hdp_antivirus_Directv_viewable_clothing_clipper,7.33,"antivirus, Directv, viewable, clothing, clipper, discouraged, mundane, wireless, scanner, skitch"
310,hdp_distance_Keepas_college_daily_hairstyle,8.8,"distance, Keepas, college, daily, hairstyle, lso, air, round, epic, integration"
311,hdp_reset_yelp_streaming_cam_advice,7.6,"reset, yelp, streaming, cam, advice, bike, itranslator, stat, grad, aware"
312,hdp_nail_thx_podcast_mug_scan,6.5,"nail, thx, podcast, mug, scan, kindle, MCPE, Accurate, counter, staff"
313,hdp_obsession_people_gmailcom_college_store,8.31,"obsession, people, gmailcom, college, store, header, daytime, capsule, Railalupadhyay1010, chapter"
314,hdp_lathy_exciting_DIY_worm_srs,8.46,"lathy, exciting, DIY, worm, srs, sensor, Magellan, drawing, excelent, seemless"
315,hdp_possibility_turbo_extreme_WSM_trippy,6.8,"possibility, turbo, extreme, WSM, trippy, lol, obsession, informative, yard, chunk"
316,hdp_gr8_antivirus_don_obvious_activity,9.11,"gr8, antivirus, don, obvious, activity, manager, location, log, great, milla"
317,hdp_middle_developer_award_overall_Rome,7.67,"middle, developer, award, overall, Rome, variety, viewer, milla, score, minimum"
318,hdp_sun_doodle_fantasy_Zombies_income,8.87,"sun, doodle, fantasy, Zombies, income, greyscale, awesomeness, nBasic, yellow, helpful"
319,hdp_asteem_vital_operation_porn_tip,8.55,"asteem, vital, operation, porn, tip, volunteer, pricing, tv, semester, fact"
320,hdp_collector_papa_guidance_itune_connect,7.5,"collector, papa, guidance, itune, connect, aggregation, friendzz, geocache, charming, edit"
321,hdp_coverage_tht_taking_formatting_cute,8.4,"coverage, tht, taking, formatting, cute, notebookmultiple, lack, 143, compass, respect"
322,hdp_gameplay_Twitter_bunch_bang_kind,6.18,"gameplay, Twitter, bunch, bang, kind, appwebsite, repository, sorted, sophistic, wrong"
323,hdp_shoe_viewer_sale_d_contribution,7.6,"shoe, viewer, sale, d, contribution, gertst, living, nude, clever, android"
324,hdp_playlist_Mailbox_navigation_stable_enhancement,6.24,"playlist, Mailbox, navigation, stable, enhancement, stuff, hat, ready, massage, math"
325,hdp_effort_lb_maze_prepared_bucket,8.22,"effort, lb, maze, prepared, bucket, scroll, musician, wardrobe, gps, down"
326,hdp_Useless_offensive_dead_goody_60,8.31,"Useless, offensive, dead, goody, 60, consultation, Scans, basic, simple, fanatic"
327,hdp_allow_flex_saver_breath_huge,9.27,"allow, flex, saver, breath, huge, aplikasi, jelaous, bone, day, attempt"
328,hdp_comicbook_craptastic_aplicaci_beginning_food,7.67,"comicbook, craptastic, aplicaci, beginning, food, multifunctionality, material, achievement, 22, consistency"
329,hdp_general_Smart_genuine_lapse_dear,9.33,"general, Smart, genuine, lapse, dear, product, organizing, contract, operator, complex"
330,hdp_wid_large_mess_part_veteran,8.29,"wid, large, mess, part, veteran, 85, role, nursing, guide, persone"
331,hdp_work_bad_port_income_line,7.65,"work, bad, port, income, line, merci, young, hardness, Alabama, house"
332,hdp_exotic_highlight_mod_ticket_stunning,7.67,"exotic, highlight, mod, ticket, stunning, Chrome, ecard, Chinese, pow, clone"
333,hdp_professional_broken_swag_icon_cvs,9.0,"professional, broken, swag, icon, cvs, prblm, unimportant, butterfly, race, voluminous"
334,hdp_humanity_road_perspective_Startup_lso,7.67,"humanity, road, perspective, Startup, lso, Facebook, semi, difference, challenge, Yojimbo"
335,hdp_love_plzzz_fake_middle_7,9.17,"love, plzzz, fake, middle, 7, savvy, technology, opener, justice, pricey"
336,hdp_credit_feed_shiny_merci_calling,9.67,"credit, feed, shiny, merci, calling, look, inspirational, workaround, alpha, reminder"
337,hdp_cache_subsection_enhancement_worrying_ABSOLUTE,8.8,"cache, subsection, enhancement, worrying, ABSOLUTE, current, clipboard, basis, import, cel"
338,hdp_angry_pattern_road_AWSOME_person,8.0,"angry, pattern, road, AWSOME, person, unfamiliar, crucial, associate, unavailable, FB"
339,hdp_tuck_boo_Christmas_GTD_MacBook,7.33,"tuck, boo, Christmas, GTD, MacBook, mesh, scrolling, ACLS, definite, date"
340,hdp_boy_mentality_shipping_camera_aap,8.4,"boy, mentality, shipping, camera, aap, pure, mean, kind, trouble, umbrella"
341,hdp_minute_Xperia_weird_devloper_rom,9.0,"minute, Xperia, weird, devloper, rom, pics, distance, trouble, syncing, TripAdvisory"
342,hdp_good_follower_Mickey_wrong_digital,8.73,"good, follower, Mickey, wrong, digital, promo, story, travel, belt, school"
343,hdp_tremendous_85_dedicated_sync_shame,8.57,"tremendous, 85, dedicated, sync, shame, wrong, tuis, conversion, Tnx, 1oo"
344,hdp_pm_useful_early_globe_daughter,8.93,"pm, useful, early, globe, daughter, sticker, scene, tonight, Shriyansh, dependable"
345,hdp_dull_season_buck_environment_worker,7.85,"dull, season, buck, environment, worker, promo, bookmark, chance, ikililu, resource"
346,hdp_chunk_Adobe_stateside_face_heck,7.25,"chunk, Adobe, stateside, face, heck, pack, eatery, jewel, info, truth"
347,hdp_tip_app_loop_freeand_bar,9.09,"tip, app, loop, freeand, bar, iPad, Widout, uselful, rental, clip"
348,hdp_like_shocked_shot_war_fat,6.0,"like, shocked, shot, war, fat, hardness, chef, orthopedic, basis, ice"
349,hdp_fail_14_home_Nice_aspect,8.73,"fail, 14, home, Nice, aspect, lifeawesome, app, unit, disease, dictionary"
350,hdp_clip_spending_1000_aggregation_miningame,6.67,"clip, spending, 1000, aggregation, miningame, legit, luuuuuuuurrrrrve, orbit, ride, devoloper"
351,hdp_company_concise_landscape_memory_pintrest,7.5,"company, concise, landscape, memory, pintrest, space, way, wowd, advertisement, face"
352,hdp_voluminous_german_calendar_worth_payement,8.75,"voluminous, german, calendar, worth, payement, action, 7, sun, renovation, minigame"
353,hdp_weird_breaker_integration_creazy_ODB,8.83,"weird, breaker, integration, creazy, ODB, segment, PS, sequel, reset, undo"
354,hdp_worthless_tuck_brave_London_frustrating,7.18,"worthless, tuck, brave, London, frustrating, well, clutter, fine, nook, favs"
355,hdp_yard_pub_vacation_lovely_kitchen,8.5,"yard, pub, vacation, lovely, kitchen, Waw, suck, crisp, organize, action"
356,manual_Apple,6.0,"ios, iphone, ipad, ipod, macbook, itune, itunes, air, airpod, mac"
357,manual_Tripadvisor,9.6,"tripadvisor, tripadisor, trip, trips, advisor, travel, stay, hotel, traveler, tourist"
358,manual_Pinterest,6.68,"pinterest, pin, pinned, idea, board, pintrest, pinning, visual, fashion, repin"
