Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3191_5,feature request,Very annoyed that I can t delete pins from notifications tab ,feature request Very annoyed that I can t delete pins from notifications tab,"['feature', 'request', 'annoyed', 'pin', 'notification', 'tab']","[223, 219]","[0.44643065, 0.44302872]"
99_3196_5,feature request, n I would like to suggest the idea that Pinterest create folders for our boards ,feature request  n I would like to suggest the idea that Pinterest create folders for our boards,"['feature', 'idea', 'Pinterest', 'folder', 'board']","[195, 234]","[0.45108464, 0.6]"
99_3197_5,feature request,I think we should get more ,feature request I think we should get more,"['feature', 'request']",[200],[0.7230165]
99_3254_5,feature request, nWish i could have more than 3 secret boards please add the feature ,feature request  nWish i could have more than 3 secret boards please add the feature,"['feature', 'request', 'secret', 'board', 'feature']",[205],[0.8649596]
99_3261_5,feature request,I liked having the letters on the side so I didn t have to roll through my entire list of boards to pin something ,feature request I liked having the letters on the side so I didn t have to roll through my entire list of boards to pin something,"['feature', 'request', 'letter', 'entire', 'list', 'board']",[198],[0.61549056]
99_3262_5,feature request,Please find a way to sort the DIY and Etsy stuff apart from each other it s frustrating to click on a project only to find you ve been diverted to an Etsy store ,feature request Please find a way to sort the DIY and Etsy stuff apart from each other it s frustrating to click on a project only to find you ve been diverted to an Etsy store,"['feature', 'request', 'way', 'DIY', 'Etsy', 'stuff', 'frustrating', 'project', 'Etsy', 'store']",[197],[0.9276723]
99_3267_5,feature request,I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page ,feature request I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page,"['feature', 'request', 'large', 'company', 'email', 'synch', 'app', 'alert', 'email', 'app', 'web', 'page']",[180],[0.9389442]
99_3315_5,feature request,Would be nice to easily move pins if pinned mistakingly to wrong bored ,feature request Would be nice to easily move pins if pinned mistakingly to wrong bored,"['feature', 'request', 'nice', 'pin', 'wrong', 'bored']",[221],[0.8853771]
99_3346_5,feature request,I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning ,feature request I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning,"['feature', 'request', 'pin', 'frustrating', 'pin', 'small', 'cool', 'pin']","[223, 234]","[0.9135928, 0.375]"
99_3347_5,feature request,Having the pins on the left needs to be moved back to the middle ,feature request Having the pins on the left needs to be moved back to the middle,"['feature', 'request', 'pin', 'left', 'need', 'middle']",[170],[0.6379993]
99_3355_5,feature request,Only thing I wish it would do would allow me to print from my iPad easily ,feature request Only thing I wish it would do would allow me to print from my iPad easily,"['feature', 'request', 'thing', 'iPad']",[200],[0.83862686]
99_3358_5,feature request,I just miss the you could save the photos in your iPhone but other than that I m in love with this app ,feature request I just miss the you could save the photos in your iPhone but other than that I m in love with this app,"['feature', 'request', 'photo', 'iPhone', 'love', 'app']",[183],[0.8850218]
99_3370_5,feature request,I wish I could have the last version back ,feature request I wish I could have the last version back,"['feature', 'request', 'version']",[209],[0.79381937]
99_3420_5,feature request,And please add tags bc the search feature becomes useless when my description just says cute or adorable and I have to search my entire board to find something ,feature request And please add tags bc the search feature becomes useless when my description just says cute or adorable and I have to search my entire board to find something,"['feature', 'request', 'tag', 'search', 'feature', 'useless', 'description', 'cute', 'adorable', 'entire', 'board']",[167],[0.8149985]
99_3423_5,feature request,They just need to update the layout I fill like everything is hidden I want a better task bar ,feature request They just need to update the layout I fill like everything is hidden I want a better task bar,"['feature', 'request', 'update', 'layout', 'well', 'task', 'bar']","[178, 208]","[0.40088925, 0.36160186]"
99_3425_5,feature request,boards subjects should have some type of restrictions or distinguishing key phrases ,feature request boards subjects should have some type of restrictions or distinguishing key phrases,"['feature', 'request', 'board', 'subject', 'type', 'restriction', 'key', 'phrase']",[188],[0.91111404]
99_3441_5,feature request,Please restore a way to open pin links in external browser or let us save photos ,feature request Please restore a way to open pin links in external browser or let us save photos,"['feature', 'request', 'way', 'pin', 'link', 'external', 'browser', 'photo']",[223],[0.39583686]
99_3442_5,feature request,I just wish that you could have more secret boards ,feature request I just wish that you could have more secret boards,"['feature', 'request', 'secret', 'board']",[205],[0.8367771]
99_3449_5,feature request,If only every pin had a direct link to how to buy it or the items inside ,feature request If only every pin had a direct link to how to buy it or the items inside,"['feature', 'request', 'pin', 'direct', 'link', 'item']",[223],[0.35167888]
99_3455_5,feature request,Please bring that back ,feature request Please bring that back,"['feature', 'request']",[200],[0.7230165]
99_3456_5,feature request,Please bring back the save to camera roll ,feature request Please bring back the save to camera roll,"['feature', 'request', 'save', 'camera', 'roll']",[167],[0.86747]
99_3461_5,feature request,Please repost the old one so we can downgrade ,feature request Please repost the old one so we can downgrade,"['feature', 'request', 'old']",[167],[0.79756474]
99_3466_5,feature request,Please bring back the old ,feature request Please bring back the old,"['feature', 'request', 'old']",[167],[0.79756474]
99_3467_5,feature request,Please change it back I hate everything about it ,feature request Please change it back I hate everything about it,"['feature', 'request']",[200],[0.7230165]
99_3474_5,feature request,I just wish it would allow your to scroll through the home page with one column rather than 2 on the iPhone ,feature request I just wish it would allow your to scroll through the home page with one column rather than 2 on the iPhone,"['feature', 'request', 'home', 'page', 'column', '2']",[212],[0.88530284]
99_3484_5,feature request,I do not like how some pins lead you to a dead site those should be removed ,feature request I do not like how some pins lead you to a dead site those should be removed,"['feature', 'request', 'pin', 'dead', 'site']","[213, 223]","[0.49241126, 0.37837887]"
99_3525_5,feature request,It would be nice if one could rearrange boards on page to have categories that are similar be next to each other or just to be able to arrange the boards on page to ones liking ,feature request It would be nice if one could rearrange boards on page to have categories that are similar be next to each other or just to be able to arrange the boards on page to ones liking,"['feature', 'request', 'nice', 'board', 'page', 'category', 'similar', 'able', 'board', 'page', 'one']",[213],[0.9338238]
99_3530_5,feature request,It would be cool to see some type of messaging system integrated where you could suggest a pin to a friend or be alerted if one of your friends commented on something you pinned ,feature request It would be cool to see some type of messaging system integrated where you could suggest a pin to a friend or be alerted if one of your friends commented on something you pinned,"['feature', 'request', 'cool', 'type', 'system', 'pin', 'friend', 'friend']",[223],[0.38123026]
99_3542_5,feature request,Please release an update to fix this ,feature request Please release an update to fix this,"['feature', 'request', 'update']",[173],[0.79516315]
99_3547_5,feature request,However I wish there was an way to alphabetize my boards ,feature request However I wish there was an way to alphabetize my boards,"['feature', 'request', 'way', 'board']",[223],[0.84146297]
99_3562_5,feature request,But I wish you could move more than one pin at a time to a new board ,feature request But I wish you could move more than one pin at a time to a new board,"['feature', 'request', 'pin', 'time', 'new', 'board']","[223, 234]","[0.7139335, 0.3333333333333333]"
99_3595_5,feature request,I wish you were able to create sub boards ,feature request I wish you were able to create sub boards,"['feature', 'request', 'able', 'sub', 'board']",[223],[0.6961738]
99_3632_5,feature request,The one thing that is missing something I d like to see is red light notifications like the website version has ,feature request The one thing that is missing something I d like to see is red light notifications like the website version has,"['feature', 'request', 'thing', 'red', 'light', 'notification', 'website', 'version']",[208],[0.9112269]
99_3647_5,feature request,Art support Waiting for the update since a month all the other apps except whatsapp supports it coz of which I can t use art ,feature request Art support Waiting for the update since a month all the other apps except whatsapp supports it coz of which I can t use art,"['feature', 'request', 'art', 'support', 'update', 'month', 'app', 'whatsapp', 'coz', 'art']",[204],[0.9277849]
99_3652_5,feature request,How abt u give the android users the same functionality ,feature request How abt u give the android users the same functionality,"['feature', 'request', 'android', 'user', 'functionality']",[226],[0.8658628]
99_3654_5,feature request,above average as it needs more emotions ,feature request above average as it needs more emotions,"['feature', 'request', 'average', 'emotion']",[208],[0.8371208]
99_3659_5,feature request,Please make an Update of LAST SEEN FREEZE or HIDE LAST SEEN options ,feature request Please make an Update of LAST SEEN FREEZE or HIDE LAST SEEN options,"['feature', 'request', 'Update', 'HIDE', 'option']",[167],[0.6948043]
99_3661_5,feature request,Media sharing Its good but can be better and if mb in media sharing can incresed then it will be excenlt so please improve it so that I can give it 5 stars,feature request Media sharing Its good but can be better and if mb in media sharing can incresed then it will be excenlt so please improve it so that I can give it 5 stars,"['feature', 'request', 'medium', 'good', 'well', 'medium', 'sharing', '5', 'star']","[164, 173]","[0.5854558, 0.33620086]"
99_3662_5,feature request,Please Add More Features Please Add More Features Like Whatsapp plus ,feature request Please Add More Features Please Add More Features Like Whatsapp plus,"['feature', 'request', 'feature', 'feature', 'Whatsapp']",[226],[0.8658635]
99_3665_5,feature request,It should have a built in protection system ,feature request It should have a built in protection system,"['feature', 'request', 'protection', 'system']",[231],[0.83714956]
99_3671_5,feature request,S4 Please we need a Zimbabwean flag,feature request S4 Please we need a Zimbabwean flag,"['feature', 'request', 'S4', 'Zimbabwean', 'flag']",[201],[0.8650083]
99_3684_5,feature request,Please get more games soon can t take the wait ,feature request Please get more games soon can t take the wait,"['feature', 'request', 'game', 'wait']","[167, 176]","[0.45486474, 0.3882953]"
99_3692_5,feature request,Second why not use background update feature of ios7 to do it rather than the awkward location based method ,feature request Second why not use background update feature of ios7 to do it rather than the awkward location based method,"['feature', 'request', 'Second', 'background', 'update', 'feature', 'ios7', 'awkward', 'location', 'method']",[194],[0.92797977]
99_3698_5,feature request,Movies should be separated out from videos just like in the Photos app ,feature request Movies should be separated out from videos just like in the Photos app,"['feature', 'request', 'movie', 'video', 'photo', 'app']",[212],[0.88530296]
99_3700_5,feature request,Please change this ,feature request Please change this,"['feature', 'request']",[200],[0.7230165]
99_3704_5,feature request,All these updates and I still can t rename things ,feature request All these updates and I still can t rename things,"['feature', 'request', 'update', 'thing']","[221, 173]","[0.540386, 0.30027425]"
99_3707_5,feature request,Why no backward compatibility to iOS 6 ,feature request Why no backward compatibility to iOS 6,"['feature', 'request', 'backward', 'compatibility', '6']",[206],[0.8647987]
99_3710_5,feature request,This app needs to support older OS versions ,feature request This app needs to support older OS versions,"['feature', 'request', 'app', 'old', 'os', 'version']",[198],[0.8856854]
99_3718_5,feature request,The app really needs a proper TODO list that functions as a completed and not competed list ,feature request The app really needs a proper TODO list that functions as a completed and not competed list,"['feature', 'request', 'app', 'proper', 'todo', 'list', 'function', 'list']",[227],[0.9112073]
99_3721_5,feature request,It was a wonderful app before and now it almost takes a manual to figure out how to use it ,feature request It was a wonderful app before and now it almost takes a manual to figure out how to use it,"['feature', 'request', 'wonderful', 'app', 'manual']",[168],[0.5980484]
99_3723_5,feature request, n nSecond it needs a way to export multiple notes at once to Word so that notes can be edited and compiled into articles and papers for publishing ,feature request  n nSecond it needs a way to export multiple notes at once to Word so that notes can be edited and compiled into articles and papers for publishing,"['feature', 'request', 'way', 'multiple', 'note', 'note', 'article', 'paper', 'publishing']",[175],[0.9202979]
99_3733_5,feature request, n nI d give 5 stars but Evernote really need to give feature parity with their desktop version ,feature request  n nI d give 5 stars but Evernote really need to give feature parity with their desktop version,"['feature', '5', 'star', 'Evernote', 'feature', 'parity', 'desktop', 'version']","[198, 173]","[0.6052677, 0.30812585]"
99_3742_5,feature request,Please do take out the marketplace and announcement ads though ,feature request Please do take out the marketplace and announcement ads though,"['feature', 'request', 'marketplace', 'announcement', 'ad']",[181],[0.86563957]
99_3743_5,feature request,You can t search within a specific notebook without typing in code very time consuming even IF you can figure out how to do it ,feature request You can t search within a specific notebook without typing in code very time consuming even IF you can figure out how to do it,"['feature', 'request', 'specific', 'notebook', 'code', 'time']",[188],[0.88493896]
99_3744_5,feature request,The list of search results should show the line of the found text so you can see quickly if that s what you re looking for without having to open it ,feature request The list of search results should show the line of the found text so you can see quickly if that s what you re looking for without having to open it,"['feature', 'request', 'list', 'search', 'result', 'line', 'text']","[227, 214]","[0.4807955, 0.42062458]"
99_3745_5,feature request, n nWish I could create tables since I use this mostly to trap info for reference ,feature request  n nWish I could create tables since I use this mostly to trap info for reference,"['feature', 'table', 'trap', 'info', 'reference']",[207],[0.8647986]
99_3746_5,feature request,There are things it would be nice if EN could do but maybe we re all getting spoiled ,feature request There are things it would be nice if EN could do but maybe we re all getting spoiled,"['feature', 'request', 'thing', 'nice']",[221],[0.837535]
99_3755_5,feature request,Also wish there was a way to view all notes in Flipboard and to display alerts for random notes ,feature request Also wish there was a way to view all notes in Flipboard and to display alerts for random notes,"['feature', 'request', 'way', 'note', 'Flipboard', 'alert', 'random', 'note']",[180],[0.9111652]
99_3763_5,feature request,It would be nice to have a word counter feature though ,feature request It would be nice to have a word counter feature though,"['feature', 'request', 'nice', 'word', 'counter', 'feature']","[221, 218]","[0.55080533, 0.33622238]"
99_3768_5,feature request,The font is smaller than that of any other app I use and there is NO way to control it short of using Evernote through a web browser which entirely defeats the purpose ,feature request The font is smaller than that of any other app I use and there is NO way to control it short of using Evernote through a web browser which entirely defeats the purpose,"['feature', 'request', 'font', 'small', 'app', 'way', 'Evernote', 'web', 'browser', 'purpose']",[164],[0.9275285]
99_3782_5,feature request,It s time for Evernote to take a good hard look at its software and start pulling features ,feature request It s time for Evernote to take a good hard look at its software and start pulling features,"['feature', 'request', 'time', 'Evernote', 'good', 'hard', 'look', 'software', 'feature']",[167],[0.9216091]
99_3784_5,feature request,This app is ok but we need to get these machines to be more than places to brain dump ,feature request This app is ok but we need to get these machines to be more than places to brain dump,"['feature', 'request', 'app', 'machine', 'place', 'brain', 'dump']",[210],[0.8997223]
99_3786_5,feature request,I would use it exclusively if it had spreadsheet editing capabilities ,feature request I would use it exclusively if it had spreadsheet editing capabilities,"['feature', 'request', 'spreadsheet', 'editing', 'capability']",[198],[0.8659468]
99_3789_5,feature request,My only wish list item would be a URL scheme for passing information to the app or opening a search from elsewhere something Launch Center Pro could use ,feature request My only wish list item would be a URL scheme for passing information to the app or opening a search from elsewhere something Launch Center Pro could use,"['feature', 'request', 'wish', 'list', 'item', 'url', 'scheme', 'app', 'search']",[204],[0.9204097]
99_3803_5,feature request,This can be frustrating when your in the middle of adding important ingredients ,feature request This can be frustrating when your in the middle of adding important ingredients,"['feature', 'request', 'frustrating', 'middle', 'important', 'ingredient']",[170],[0.36806872]
99_3804_5,feature request, nBut you should be able to rearrange your boards on here ,feature request  nBut you should be able to rearrange your boards on here,"['feature', 'request', 'able', 'board']",[223],[0.6327666]
99_3810_5,feature request,I recommend some improvements such as being able to rearrange pins and boards on the app ,feature request I recommend some improvements such as being able to rearrange pins and boards on the app,"['feature', 'request', 'improvement', 'able', 'pin', 'board', 'app']",[223],[0.64581907]
99_3815_5,feature request,It needed to happen ,feature request It needed to happen,"['feature', 'request']",[200],[0.7230165]
99_3827_5,feature request, nIt still needs improvements at the functionality level such as allowing a bigger number of secret boards more flexibility in the search of pins pinners and boards and more flexibility in the display on one s pins and boards and boards that are followed ,feature request  nIt still needs improvements at the functionality level such as allowing a bigger number of secret boards more flexibility in the search of pins pinners and boards and more flexibility in the display on one s pins and boards and boards that are followed,"['feature', 'request', 'improvement', 'functionality', 'level', 'big', 'number', 'secret', 'board', 'flexibility', 'search', 'pin', 'pinner', 'board', 'flexibility', 'display', 'pin', 'board', 'board']","[210, 223, 234]","[0.5791503, 0.3829883, 0.3157894736842105]"
99_3830_5,feature request, I think it could be better by being able to private message someone though you could block the person from messaging if needed ,feature request  I think it could be better by being able to private message someone though you could block the person from messaging if needed,"['feature', 'request', 'well', 'able', 'private', 'message', 'person']",[226],[0.7719507]
99_3831_5,feature request,Also I think it could be better if a pin could be deleted from your group board like for example if it was inappropriate and you didn t want it on your board and also if you didn t need to follow a person back for them to be added to a group board ,feature request Also I think it could be better if a pin could be deleted from your group board like for example if it was inappropriate and you didn t want it on your board and also if you didn t need to follow a person back for them to be added to a group board,"['feature', 'request', 'well', 'pin', 'group', 'board', 'example', 'inappropriate', 'board', 'person', 'group', 'board']","[223, 228, 234]","[0.4715609, 0.46981874, 0.3333333333333333]"
99_3843_5,feature request,Please add a back to top of page button ,feature request Please add a back to top of page button,"['feature', 'request', 'page', 'button']",[213],[0.62845397]
99_3847_5,feature request,The app is hard to see clearly on my phone maybe I need to get the iPad ,feature request The app is hard to see clearly on my phone maybe I need to get the iPad,"['feature', 'request', 'app', 'hard', 'phone', 'iPad']",[200],[0.42528468]
99_3855_5,feature request,The only issue with this app is the lack of ability to print a pin from within the app you have to open in safari and that is to many extra steps please add a print button ,feature request The only issue with this app is the lack of ability to print a pin from within the app you have to open in safari and that is to many extra steps please add a print button,"['feature', 'request', 'issue', 'app', 'lack', 'ability', 'pin', 'app', 'extra', 'step', 'print', 'button']",[178],[0.9393292]
99_3858_5,feature request,Can you try to add some instructions or a replay for when you first join ,feature request Can you try to add some instructions or a replay for when you first join,"['feature', 'request', 'instruction', 'replay']",[185],[0.83700776]
99_3859_5,feature request,That I need to ask ,feature request That I need to ask,"['feature', 'request']",[200],[0.7230165]
99_3863_5,feature request,I love fantasy art picture but you need to do if people like us is more easy phone to select action a picture ,feature request I love fantasy art picture but you need to do if people like us is more easy phone to select action a picture,"['feature', 'request', 'fantasy', 'art', 'picture', 'people', 'easy', 'phone', 'action', 'picture']",[215],[0.92765254]
99_3866_5,feature request,Brittany Lauren Please please please give us an update to be able to search for pins on our boards ,feature request Brittany Lauren Please please please give us an update to be able to search for pins on our boards,"['feature', 'request', 'update', 'able', 'pin', 'board']","[223, 234]","[0.5569063, 0.3333333333333333]"
99_3869_5,feature request,I learn a lot from what other folks post it lacks a reliable search function it needs to add a setting of BOARDS PERSONS I FOLLOW ,feature request I learn a lot from what other folks post it lacks a reliable search function it needs to add a setting of BOARDS PERSONS I FOLLOW,"['feature', 'request', 'folk', 'reliable', 'search', 'function', 'setting', 'boards', 'person', 'follow']",[194],[0.92797935]
99_3871_5,feature request,The only bad thing about it is that you can t get on it without wifi ,feature request The only bad thing about it is that you can t get on it without wifi,"['feature', 'request', 'bad', 'thing']",[221],[0.5464154]
99_3872_5,feature request,Minus one star for occasional crashes of the app and I wish there was a better way to keep people from pinning links to spammy websites ,feature request Minus one star for occasional crashes of the app and I wish there was a better way to keep people from pinning links to spammy websites,"['feature', 'request', 'star', 'occasional', 'crash', 'app', 'well', 'way', 'people', 'link', 'spammy', 'website']",[208],[0.73257554]
99_3877_5,feature request,Please take off the new update where it recommends sending certain pins to people who may like it on your Facebook friends list ,feature request Please take off the new update where it recommends sending certain pins to people who may like it on your Facebook friends list,"['feature', 'request', 'new', 'update', 'certain', 'pin', 'people', 'Facebook', 'friend', 'list']",[174],[0.927609]
99_3883_5,feature request,But I wish there were a way to organize pins within boards like sub boards or something ,feature request But I wish there were a way to organize pins within boards like sub boards or something,"['feature', 'request', 'way', 'pin', 'board', 'sub', 'board']","[223, 234]","[0.9025041, 0.42857142857142855]"
99_3885_5,feature request,I enjoy using Pinterest on the iPad and iPhone but some features like the ability to change the cover image of a board are missing ,feature request I enjoy using Pinterest on the iPad and iPhone but some features like the ability to change the cover image of a board are missing,"['feature', 'request', 'Pinterest', 'iPad', 'iPhone', 'feature', 'ability', 'cover', 'image', 'board']",[214],[0.43097073]
99_3904_5,feature request,For those who like to visually learn read and live this app fits the personal functionality I need in order for the platform to be an intuitive seamless process regardless of the task I m attempting to perform ,feature request For those who like to visually learn read and live this app fits the personal functionality I need in order for the platform to be an intuitive seamless process regardless of the task I m attempting to perform,"['feature', 'request', 'app', 'personal', 'functionality', 'order', 'platform', 'intuitive', 'seamless', 'process', 'task']",[188],[0.9337281]
99_3905_5,feature request,I wish you could still pin without opening ,feature request I wish you could still pin without opening,"['feature', 'request', 'opening']",[194],[0.79502076]
99_3906_5,feature request,I wish there was some type of messenger available ,feature request I wish there was some type of messenger available,"['feature', 'request', 'type', 'messenger', 'available']",[231],[0.62825215]
99_3907_5,feature request,It would be nice to be able to respond to pins that have been sent to us with a message ,feature request It would be nice to be able to respond to pins that have been sent to us with a message,"['feature', 'request', 'nice', 'able', 'pin', 'message']",[221],[0.53182894]
99_3910_5,feature request,I wish there was a way to take off your recently viewed categories ,feature request I wish there was a way to take off your recently viewed categories,"['feature', 'request', 'way', 'category']","[223, 226]","[0.47795916, 0.3665872]"
99_3913_5,feature request,I need Pinterest Anonymous ,feature request I need Pinterest Anonymous,"['feature', 'request', 'Pinterest']","[195, 234]","[0.7943451, 0.3333333333333333]"
99_3917_5,feature request,And you know it would be great to be able to have more than 350 boards I have noticed some of the people I follow have more but I can t figure out how to do it ,feature request And you know it would be great to be able to have more than 350 boards I have noticed some of the people I follow have more but I can t figure out how to do it,"['feature', 'request', 'great', 'able', 'board', 'people']",[223],[0.3703569]
99_3919_5,feature request,The only improvement I suggest is to add the ability to zoom in on the pictures after they have been pinned ,feature request The only improvement I suggest is to add the ability to zoom in on the pictures after they have been pinned,"['feature', 'request', 'improvement', 'ability', 'picture']",[212],[0.86549896]
99_3928_5,feature request,Wish the app would allow you to view in both portrait and landscape format ,feature request Wish the app would allow you to view in both portrait and landscape format,"['feature', 'request', 'app', 'portrait', 'landscape', 'format']",[212],[0.88530296]
99_3944_5,feature request,This app needs an update ,feature request This app needs an update,"['feature', 'request', 'app', 'update']","[173, 168]","[0.5101175, 0.33022797]"
99_3946_5,feature request,The way I think is to categorize first and then comment but once you select a category you ve pinned it and then you must do the several step process of editing ,feature request The way I think is to categorize first and then comment but once you select a category you ve pinned it and then you must do the several step process of editing,"['feature', 'request', 'way', 'category', 'step', 'process', 'editing']",[208],[0.8998337]
99_3972_5,feature request,Great app just wish it didn t glitch on occasion ,feature request Great app just wish it didn t glitch on occasion,"['feature', 'request', 'great', 'app', 'glitch', 'occasion']",[178],[0.8857311]
99_3988_5,feature request,The only thing I would love added to Pinterest overall is keywords because a lot of times the captions for the pin do not contain any information about what the pin is about and then there is no way to search for it ,feature request The only thing I would love added to Pinterest overall is keywords because a lot of times the captions for the pin do not contain any information about what the pin is about and then there is no way to search for it,"['feature', 'request', 'thing', 'Pinterest', 'overall', 'keyword', 'time', 'caption', 'pin', 'pin', 'way']",[223],[0.93557614]
99_4001_5,feature request,The only thing I would like to see added is a find feature for every board considering how many pins I have now ,feature request The only thing I would like to see added is a find feature for every board considering how many pins I have now,"['feature', 'request', 'thing', 'find', 'feature', 'board', 'pin']",[223],[0.7243878]
99_4003_5,feature request,Could add feature that loads more pins when you reach the bottom and run out of pins ,feature request Could add feature that loads more pins when you reach the bottom and run out of pins,"['feature', 'request', 'feature', 'pin', 'pin']","[223, 234]","[0.86883646, 0.4]"
99_4015_5,feature request,I just wish they d add a Farm Ranch category ,feature request I just wish they d add a Farm Ranch category,"['feature', 'request', 'category']",[226],[0.79511034]
99_4017_5,feature request,Wish you could save images that you are trying to pin ,feature request Wish you could save images that you are trying to pin,"['feature', 'request', 'image']",[167],[0.79756474]
99_4027_5,feature request,We really need an open in safari button ,feature request We really need an open in safari button,"['feature', 'request', 'open', 'button']",[194],[0.8377984]
99_4029_5,feature request,I liked the list better I don t need a picture to know the category ,feature request I liked the list better I don t need a picture to know the category,"['feature', 'request', 'list', 'picture', 'category']",[226],[0.6882565]
99_4030_5,feature request,My only complaint is that you can t search your own pins or likes as you can on a computer ,feature request My only complaint is that you can t search your own pins or likes as you can on a computer,"['feature', 'request', 'complaint', 'pin', 'like', 'computer']","[223, 217]","[0.4464309, 0.4429852]"
99_4031_5,feature request,Im a crafter I would like to see more patterns that go with these crafts like the havoc made with recycled bottles there not for sale but there is no pattern either ,feature request Im a crafter I would like to see more patterns that go with these crafts like the havoc made with recycled bottles there not for sale but there is no pattern either,"['feature', 'request', 'crafter', 'pattern', 'craft', 'havoc', 'recycled', 'bottle', 'sale', 'pattern']",[183],[0.927639]
99_4043_5,feature request,Not impressed with update also need to put a sidebar on pins so you can see how far you have to scroll down to get to the bottom of a topic ,feature request Not impressed with update also need to put a sidebar on pins so you can see how far you have to scroll down to get to the bottom of a topic,"['feature', 'request', 'impressed', 'update', 'sidebar', 'pin', 'topic']",[167],[0.7127898]
99_4044_5,feature request,I need to see what I am working on or towards in order for me to make the connection ,feature request I need to see what I am working on or towards in order for me to make the connection,"['feature', 'request', 'order', 'connection']",[163],[0.5643882]
99_4061_5,feature request,Update 12 28 2013 LOVE Pinterest but see my request below ,feature request Update 12 28 2013 LOVE Pinterest but see my request below,"['feature', 'request', 'Update', 'Pinterest', 'request']","[195, 194]","[0.46759456, 0.40026087]"
99_4062_5,feature request,Please change it BACK to the APP opening when I pin in Safari and or Chrome ,feature request Please change it BACK to the APP opening when I pin in Safari and or Chrome,"['feature', 'request', 'opening', 'Safari', 'Chrome']",[194],[0.86580414]
99_4063_5,feature request,Please make an iPad HD version ,feature request Please make an iPad HD version,"['feature', 'request', 'iPad', 'version']",[200],[0.6057499]
